,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,name_missing,isNamedCreature_missing,isNpc_missing,ac_missing,hp/average_missing,hp/formula_missing,alignment_missing,type_missing,swarm_missing,size_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,initiative/advantageMode_missing,passive_missing,senseTags_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,conditionInflict_missing,damageTags_missing,savingThrowForced_missing,legendaryActions_missing,legendary_missing,vulnerable_missing,languages_missing,languageTags_missing,environment_missing,miscTags_missing,source_missing,summonedBySpell_missing,summonedBySpellLevel_missing,variant_missing,reprinted_missing,sidekickHidden_missing
749,Yan-C-Bin,0,0,21,22,283,21d12 + 147,N E,elemental,,,H,18,24,24,16,21,23,12,-1,11,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,15,B,50,,-1,,-1,,150,,-1,True,"[""Legendary Resistances"",""Magic Resistance""]",Cha,"I,L",I,"[""invisible""]","[""constitution"",""dexterity"",""strength""]",True,"[""Multiattack"",""Shapechanger""]",False,False,"[""deafened""]","L,O,T","[""constitution""]",-1,1,"B, L","[""constitution"",""dexterity"",""wisdom""]","[""blinded""]",False,"[""cold"",""fire"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""lightning"",""poison"",""thunder""]","[""charmed"",""frightened"",""paralyzed"",""petrified"",""poisoned"",""prone"",""restrained""]","[""Auran""]",AU,,,"AOE, MW, RCH",PotA,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
750,Fear Smith,0,0,13,17,149,23d8 + 46,C N,fey,,,M,11,17,14,11,15,18,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,0,12,B,40,,-1,,15,,-1,,-1,True,"[""Magic Resistance""]",Cha,,O,"[""charmed"",""frightened"",""prone""]","[""wisdom""]",True,"[""Multiattack""]",False,False,"[""prone"",""stunned""]","S,Y","[""wisdom""]",-1,0,,,,False,"[{""cond"":true,""note"":""from attacks not made with cold iron weapons"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""frightened""]","[""Common"",""Elvish"",""Sylvan""]","C,E,S",,"planar, urban",MW,ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
751,Kobold Scale Sorcerer,0,0,4,15,27,5d6 + 10,A,humanoid,,,S,7,15,14,10,9,14,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,9,D,30,,-1,,-1,,-1,,-1,True,"[""Pack Tactics"",""Sunlight Sensitivity""]",Cha,,O,"[""charmed""]","[""constitution"",""wisdom""]",True,"[""Multiattack""]",False,False,,P,,-1,0,,,,False,,,,,"[""Common"",""Draconic""]","C,DR",dagger,"forest, hill, mountain, underdark, urban","MLW,MW, RW, THW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
752,Cryonax,0,0,25,21,391,27d12 + 216,N E,elemental,,,H,26,16,26,19,19,23,-1,-1,11,15,10,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,B,40,,-1,,40,,-1,,-1,True,"[""Legendary Resistances"",""Magic Resistance""]",Cha,"B, C",O,"[""prone""]","[""constitution"",""dexterity""]",True,"[""Multiattack""]",False,False,"[""stunned""]","B, C","[""constitution""]",-1,1,,,,False,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]","[""fire""]","[""cold"",""poison""]","[""charmed"",""frightened"",""paralyzed"",""petrified"",""poisoned"",""prone""]","[""Common"",""Primordial""]","C,P",,,"AOE, MLW,MW, RCH, RW, THW",MaBJoV,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
753,Auril (First Form),0,0,12,13,95,10d8 + 50,N E,monstrosity,,,M,14,16,21,24,26,28,-1,-1,12,9,-1,-1,-1,-1,12,16,-1,-1,-1,-1,-1,-1,13,13,-1,-1,-1,-1,-1,-1,0,26,"SD, U",30,,-1,,-1,,60,,-1,True,"[""Legendary Resistances"",""Magic Resistance"",""Unusual Nature""]",Cha,"A, B, C, F, I, L, T",I,,"[""dexterity"",""wisdom""]",True,"[""Multiattack""]",False,False,,"C,P",,-1,1,,,,False,,"[""radiant""]","[""cold"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned"",""stunned""]","[""all"",""telepathy 1000 ft.""]","TP,XX",,,MW,IDRotF,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1
754,Draconian Mastermind,0,0,9,17,67,9d8 + 27,A,monstrosity,,,M,13,14,16,15,11,17,6,5,3,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,U,35,,-1,,-1,,-1,,-1,True,"[""Death Burst""]",Cha,O,O,"[""invisible""]",,True,"[""Breath Weapon"",""Multiattack""]",False,True,"[""exhaustion"",""stunned""]","I,L,O,S","[""constitution"",""dexterity""]",-1,0,,,,False,,,,"[""charmed""]","[""Common"",""Draconic""]","C,DR",,,"AOE, MW",FTD,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
755,High Fae Mage,0,0,15,17,148,27d8 + 27,A,fey,sorcerer,,M,11,18,12,17,15,24,11,7,6,-1,-1,-1,11,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,0,12,D,30,,-1,,-1,hover,30,,-1,True,"[""Magic Resistance""]",Cha,,O,,"[""dexterity"",""strength""]",True,"[""Multiattack""]",False,True,,"N,Y","[""charisma"",""constitution""]",-1,0,,,,False,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,,"[""Common"",""Sylvan""]","C,S",,,,MCV4EC,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1
756,Night Hag,0,0,8,17,112,15d8 + 45,N E,fiend,,,M,18,15,16,16,14,16,-1,-1,-1,-1,-1,-1,-1,-1,5,5,-1,5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,0,16,SD,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance""]",Cha,O,"CW,I,S","[""frightened"",""paralyzed"",""poisoned"",""unconscious""]","[""charisma"",""constitution""]",True,shapechanger,False,False,,S,,-1,0,,"[""charisma"",""constitution""]",,False,"[""cold"",""fire"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed""]","[""Abyssal"",""Common"",""Infernal"",""Primordial""]","AB,C,I,P",,,"HPR, MW",MM,False,,,-1,,True,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1
757,Rum Gremlin,0,0,2,13,27,6d4 + 12,C E,fey,,,T,10,16,14,12,9,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,SD,20,,-1,,10,,-1,,10,True,"[""Magic Resistance""]",Cha,,O,"[""prone""]","[""wisdom""]",True,,False,False,"[""poisoned""]","P,S","[""constitution""]",-1,0,,,,False,,,,"[""poisoned""]","[""Common"",""Sylvan""]","C,S",,"coastal, urban",MW,ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
758,Dohwar,0,0,3,11,10,3d6,A,fey,,,S,5,12,11,11,14,13,-1,-1,4,-1,3,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,3,-1,-1,-1,0,12,,20,,-1,,-1,,-1,,20,True,,Cha,,P,,"[""wisdom""]",True,,False,False,,P,,-1,0,,,,False,,,,,"[""Common"",""Dohwar"",""telepathy 30 ft. (see also Merging below)""]","C,TP",,,MW,BAM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
759,Hutijin,0,0,24,19,200,16d10 + 112,L E,fiend,devil,,L,27,15,25,23,19,25,-1,-1,11,14,9,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,0,21,U,30,,-1,,-1,,60,,-1,True,"[""Legendary Resistances"",""Magic Resistance"",""Regeneration""]",Cha,"B, F,L,P,S",O,"[""invisible"",""paralyzed""]","[""dexterity"",""wisdom""]",True,"[""Multiattack"",""Teleport""]",False,True,"[""frightened"",""poisoned""]","C,F,I,L,O,T","[""constitution"",""dexterity"",""wisdom""]",-1,1,,,,False,"[""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",mace,,"AOE, MLW,MW, RCH",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
760,Tiamat,0,0,33,25,615,30d20 + 300,C E,fiend,,,G,30,10,30,26,26,28,-1,-1,17,-1,9,19,17,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,0,36,"SD, U",60,,-1,,-1,,120,,-1,True,"[""Legendary Resistances"",""Magic Weapons"",""Regeneration""]",Cha,,I,"[""blinded"",""deafened"",""stunned""]","[""charisma""]",True,"[""Frightful Presence"",""Multiattack""]",False,False,"[""frightened""]","A, C,F,I,L,P,S","[""constitution"",""dexterity"",""wisdom""]",5,1,,,,False,,,"[""acid"",""cold"",""fire"",""lightning"",""poison"",{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks""}]","[""blinded"",""charmed"",""deafened"",""frightened"",""poisoned"",""stunned""]","[""Common"",""Draconic"",""Infernal""]","C,DR,I",,,"AOE, MW, RCH",RoT,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
761,Sibriex,0,0,21,19,150,12d12 + 72,C E,fiend,demon,,H,10,3,23,25,24,25,13,13,-1,-1,-1,-1,13,13,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,23,U,0,,-1,,-1,hover,20,,-1,True,"[""Legendary Resistances"",""Magic Resistance""]",Cha,Y,I,"[""charmed"",""paralyzed"",""prone""]","[""intelligence"",""wisdom""]",True,"[""Multiattack""]",False,False,"[""deafened"",""exhaustion"",""poisoned""]","A, I,P","[""constitution"",""dexterity""]",-1,1,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",,underdark,"MW, RCH",MTF,False,,,-1,,True,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
762,Molydeus,0,0,24,19,216,16d12 + 112,C E,fiend,demon,,H,28,22,25,21,24,24,14,-1,14,14,-1,16,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,31,U,40,,-1,,-1,,-1,,-1,True,"[""Legendary Resistances"",""Magic Resistance""]",Cha,L,O,"[""restrained""]","[""dexterity"",""wisdom""]",True,"[""Multiattack""]",False,False,,"I,N,O","[""constitution""]",-1,1,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""blinded"",""charmed"",""deafened"",""frightened"",""poisoned"",""stunned""]","[""Abyssal"",""telepathy 120 ft.""]","AB,TP",,,"HPR, MW, RCH",MPMM,False,,,-1,,True,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1
763,Yagnoloth,0,0,14,17,147,14d10 + 70,N E,fiend,yugoloth,,L,19,14,21,16,15,18,8,7,6,-1,6,-1,-1,-1,6,6,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,8,-1,-1,-1,0,16,"B, D",40,,-1,,-1,,-1,,-1,True,"[""Magic Resistance""]",Cha,L,O,"[""invisible""]","[""dexterity"",""wisdom""]",True,"[""Multiattack"",""Teleport""]",False,False,"[""stunned""]","L,N,O","[""constitution""]",-1,0,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""acid"",""poison""]","[""poisoned""]","[""Abyssal"",""Infernal"",""telepathy 60 ft.""]","AB,I,TP",,urban,"HPR, MW, RCH",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
764,Yagnoloth,0,0,14,17,147,14d10 + 70,N E,fiend,yugoloth,,L,19,14,21,16,15,18,8,7,6,-1,6,-1,-1,-1,6,6,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,8,-1,-1,-1,0,16,"B, D",40,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Magic Weapons""]",Cha,L,I,"[""invisible""]","[""dexterity"",""wisdom""]",True,"[""Multiattack"",""Teleport""]",False,False,"[""stunned""]","B, L,N","[""constitution""]",-1,0,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""acid"",""poison""]","[""poisoned""]","[""Abyssal"",""Infernal"",""telepathy 60 ft.""]","AB,I,TP",,urban,"HPR, MW, RCH",MTF,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1
765,Dhergoloth,0,0,10,15,119,14d8 + 56,N E,fiend,yugoloth,,M,17,10,19,7,10,9,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,"B, D",30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Magic Weapons""]",Cha,,I,,"[""wisdom""]",True,"[""Multiattack"",""Teleport""]",False,False,,S,"[""dexterity""]",-1,0,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""acid"",""poison""]","[""poisoned""]","[""Abyssal"",""Infernal"",""telepathy 60 ft.""]","AB,I,TP",,underdark,MW,MTF,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1
766,Ras Nsi,0,0,10,15,-1,127 ({@dice 17d8 + 51}) reduced to 107; subtract 1 for each day that passes during the adventure,N E,monstrosity,"shapechanger, yuan-ti",,M,17,16,17,18,18,21,-1,-1,7,6,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,8,-1,-1,-1,8,7,-1,-1,0,14,D,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,"F,I,N,O,Y","CW,I","[""blinded"",""charmed"",""deafened"",""paralyzed""]","[""constitution"",""dexterity"",""intelligence"",""wisdom""]",True,"[""Multiattack""]",False,False,"[""grappled"",""restrained""]","B, F,I,P,S",,-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR",flame tongue longsword,,"MLW,MW",ToA,False,,,-1,,,,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
767,Yuan-ti Pit Master,0,0,8,14,88,16d8 + 16,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,12,16,6,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,0,11,SD,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,"F,I,N,O","CL,F,I","[""charmed"",""invisible"",""prone""]","[""constitution"",""dexterity"",""wisdom""]",True,"[""Multiattack""]",False,False,"[""unconscious""]","I,P","[""constitution""]",-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR",,"underdark, forest, desert",MW,VGM,False,,,-1,,True,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
768,Yuan-ti Mind Whisperer,0,0,7,14,71,13d8 + 13,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,14,16,5,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0,12,SD,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,"I,O","CL,F,I",,"[""constitution"",""wisdom""]",True,"[""Multiattack""]",False,False,,"I,P,S,Y",,-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR",scimitar,"underdark, forest, desert","MLW,MW",VGM,False,,,-1,,True,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
769,Yuan-ti Malison (Type 1),0,0,6,12,66,12d8 + 12,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,12,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0,11,D,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,,"F,I",,"[""wisdom""]",True,"[""Multiattack""]",False,False,,"I,P,S",,-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR","longbow, scimitar","forest, swamp, desert","MLW,MW, RNG, RW",MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
770,Yuan-ti Malison (Type 2),0,0,6,12,66,12d8 + 12,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,12,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0,11,D,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,,"F,I",,"[""wisdom""]",True,"[""Multiattack""]",False,False,,"I,P",,-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR",,"forest, swamp, desert",MW,MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
771,Yuan-ti Malison (Type 3),0,0,6,12,66,12d8 + 12,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,12,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0,11,D,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,,"F,I","[""charmed""]","[""wisdom""]",True,"[""Multiattack""]",False,False,"[""grappled"",""restrained""]","B, I,P,S",,-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR","longbow, scimitar","forest, swamp, desert","MLW,MW, RNG, RW",MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
772,Yuan-ti Malison (Type 4),0,0,6,12,66,12d8 + 12,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,12,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0,11,D,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,,"F,I",,"[""wisdom""]",True,"[""Multiattack""]",False,False,,"I,P,S",,-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR","longbow, scimitar","forest, swamp, desert","MLW,MW, RNG, RW",VGM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
773,Yuan-ti Malison (Type 5),0,0,6,12,66,12d8 + 12,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,12,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0,11,D,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance"",""Shapechanger""]",Cha,,"F,I",,"[""wisdom""]",True,"[""Multiattack""]",False,False,,"I,P,S",,-1,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR","longbow, scimitar","forest, swamp, desert","MLW,MW, RNG, RW",VGM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
