name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Bol'bara,TRUE,TRUE,3,15,40,9d6 + 9,C G,humanoid,goblinoid,,S,11,14,12,10,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,11,D,30,,,,,,,,,TRUE,,Cha,"N,O",I,,"[""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"O,P",,2,TRUE,,,,FALSE,,,,,"[""Common"",""Goblin""]","C,GO",dagger,,"AOE, MLW,MW, RW, THW",EGW,FALSE,,,,,,,
Spellix Romwod,TRUE,TRUE,2-Jan,14,33,6d6 + 12,C N,humanoid,gnome,,S,6,15,14,15,9,16,,,,,,,4,4,,,,,,,,,5,,,,,,,,,9,D,25,,,,,,,,,TRUE,,Cha,"A, C,F,I,L,T",I,"[""charmed""]","[""wisdom""]",TRUE,,FALSE,FALSE,,"F,L",,,FALSE,,,,FALSE,,,,,"[""Common"",""Draconic"",""Elvish"",""Gnomish"",""Goblin""]","C,DR,E,G,GO",,,,IDRotF,FALSE,,,,,,,
Blood Witch,FALSE,,7,15,78,12d8 + 24,C E,humanoid,any,,M,16,14,15,13,9,19,7,,2,,,,4,,,2,,5,,,,,,7,,,,,,,,12,SD,30,,,,,,,,,TRUE,"[""Devil's Sight""]",Cha,"B, F,N,O,P,S",I,,"[""constitution"",""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"P,S","[""charisma""]",,FALSE,,,,FALSE,"[""psychic""]",,,,"[""Abyssal plus any one language (usually Common)""]","AB,C,X","longsword, shortsword",,"CUR, MLW,MW",GGR,FALSE,,,,,,,
Drow Matron Mother,FALSE,,20,17,262,35d8 + 105,N E,humanoid,Elf,,M,12,18,16,17,21,22,12,,11,9,,,,,11,11,,10,,,,,,,,,,9,,,,21,SD,30,,,,,,,,,TRUE,"[""Fey Ancestry"",""Magic Resistance"",""Sunlight Sensitivity""]",Cha,"F,N,O,R,S,Y","CC,I","[""blinded"",""charmed"",""deafened"",""incapacitated"",""paralyzed"",""poisoned"",""prone"",""stunned""]","[""charisma"",""constitution"",""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""frightened""]","B, Y","[""constitution""]",,TRUE,,,,FALSE,,,,"[""charmed"",""frightened"",""poisoned""]","[""Elvish"",""Undercommon""]","E,U",,underdark,"MW, RCH",MTF,FALSE,,,,,,TRUE,
Drow Inquisitor,FALSE,,14,16,143,22d8 + 44,N E,humanoid,Elf,,M,11,15,14,16,21,20,10,,10,7,,,,,10,10,,7,,,,,,,,,,8,,,,20,SD,30,,,,,,,,,TRUE,"[""Fey Ancestry"",""Magic Resistance"",""Sunlight Sensitivity""]",Cha,"I,N,O,P","CC,I","[""blinded"",""deafened"",""incapacitated"",""poisoned"",""stunned""]","[""charisma"",""constitution"",""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"N,P,Y",,,FALSE,,,,FALSE,,,,"[""frightened""]","[""Elvish"",""Undercommon""]","E,U",,underdark,"HPR, MLW,MW",MTF,FALSE,,,,,TRUE,TRUE,
Skull Lord,FALSE,,15,18,112,15d8 + 45,L E,undead,sorcerer,,M,14,16,17,16,15,21,,,,,,,,8,,12,,8,,,,7,,,,,,,,,,22,D,30,,,,,,,,,TRUE,"[""Legendary Resistances"",""Unusual Nature""]",Cha,"C,I,O",O,"[""frightened""]","[""constitution"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"B, N",,,TRUE,,,,FALSE,"[""cold"",""necrotic"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""blinded"",""charmed"",""deafened"",""exhaustion"",""frightened"",""poisoned"",""stunned"",""unconscious""]","[""all the languages it knew in life""]",LF,,"desert, swamp, underdark",MW,MPMM,FALSE,,,,,,,
Grim Champion of Pestilence,FALSE,,15,17,120,16d8 + 48,N E,undead,,,M,10,18,16,17,15,21,10,,,,9,,8,,,7,,9,,,,,,,,,,,,,,17,D,40,,,,,,,,,TRUE,"[""Legendary Resistances""]",Cha,"I,N",O,"[""blinded"",""deafened"",""poisoned"",""stunned""]","[""constitution""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"B, I,N","[""constitution""]",,TRUE,,,,FALSE,"[""cold"",""necrotic"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""blinded"",""charmed"",""deafened"",""exhaustion"",""frightened"",""poisoned"",""stunned"",""unconscious""]","[""Common"",""Infernal""]","C,I",,,MW,BMT,FALSE,,,,,,,
Mr. Dory,TRUE,TRUE,10,18,170,20d8 + 80,C E,aberration,,,M,13,20,19,14,14,16,,,6,8,,,,,,6,,9,,,,5,,,,,,,,,,16,D,30,,,,,,,,,TRUE,"[""Magic Resistance""]",Cha,"F,I,O",I,,"[""constitution"",""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"A, I,N,P","[""constitution""]",,FALSE,,,,FALSE,,,"[""necrotic""]",,"[""Abyssal"",""Common"",""Deep Speech"",""telepathy 60 ft.""]","AB,C,DS,TP",rapier,,"MLW,MW",GoS,FALSE,,,,,,,
Death Slaad,,,10,18,170,20d8 + 80,C E,aberration,shapechanger,,M,20,15,19,15,10,16,,,,,,,6,,,8,,,,,,,,,,,,,,,,18,"B, D",30,,,,,,,,,TRUE,"[""Magic Resistance"",""Magic Weapons"",""Regeneration"",""Shapechanger""]",Cha,"F,I",I,"[""frightened"",""invisible""]","[""charisma"",""constitution"",""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"N,P,S,Y",,,FALSE,,,,FALSE,"[""acid"",""cold"",""fire"",""lightning"",""thunder""]",,,,"[""Slaad"",""telepathy 60 ft.""]","OTH,TP",greatsword,,"MLW,MW",MM,FALSE,,,,,TRUE,TRUE,
Faerie Dragon (Violet),,,2,15,14,4d4 + 4,C G,dragon,,,T,3,20,13,14,12,16,,,,,,,4,,,3,,7,,,,,,,,,,,,,,13,D,10,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""blinded""]","[""wisdom""]",TRUE,"[""Breath Weapon""]",FALSE,FALSE,"[""invisible""]",P,"[""wisdom""]",,FALSE,,"[""wisdom""]",,FALSE,,,,,"[""Draconic"",""Sylvan""]","DR,S",,forest,MW,MM,FALSE,,,,,,TRUE,
Faerie Dragon (Indigo),,,2,15,14,4d4 + 4,C G,dragon,,,T,3,20,13,14,12,16,,,,,,,4,,,3,,7,,,,,,,,,,,,,,13,D,10,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""blinded""]","[""wisdom""]",TRUE,"[""Breath Weapon""]",FALSE,FALSE,"[""invisible""]",P,"[""wisdom""]",,FALSE,,"[""wisdom""]",,FALSE,,,,,"[""Draconic"",""Sylvan""]","DR,S",,forest,MW,MM,FALSE,,,,,,TRUE,
Faerie Dragon (Blue),,,2,15,14,4d4 + 4,C G,dragon,,,T,3,20,13,14,12,16,,,,,,,4,,,3,,7,,,,,,,,,,,,,,13,D,10,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""blinded""]","[""wisdom""]",TRUE,"[""Breath Weapon""]",FALSE,FALSE,"[""invisible""]",P,"[""wisdom""]",,FALSE,,"[""wisdom""]",,FALSE,,,,,"[""Draconic"",""Sylvan""]","DR,S",,forest,MW,MM,FALSE,,,,,,TRUE,
Faerie Dragon (Green),,,2,15,14,4d4 + 4,C G,dragon,,,T,3,20,13,14,12,16,,,,,,,4,,,3,,7,,,,,,,,,,,,,,13,D,10,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""blinded""]","[""wisdom""]",TRUE,"[""Breath Weapon""]",FALSE,FALSE,"[""invisible""]",P,"[""wisdom""]",,FALSE,,"[""wisdom""]",,FALSE,,,,,"[""Draconic"",""Sylvan""]","DR,S",,forest,MW,MM,FALSE,,,,,,TRUE,
Faerie Dragon (Yellow),,,1,15,14,4d4 + 4,C G,dragon,,,T,3,20,13,14,12,16,,,,,,,4,,,3,,7,,,,,,,,,,,,,,13,D,10,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""blinded""]",,TRUE,"[""Breath Weapon""]",FALSE,FALSE,"[""invisible""]",P,"[""wisdom""]",,FALSE,,,,FALSE,,,,,"[""Draconic"",""Sylvan""]","DR,S",,forest,MW,MM,FALSE,,,,,,TRUE,
Faerie Dragon (Orange),,,1,15,14,4d4 + 4,C G,dragon,,,T,3,20,13,14,12,16,,,,,,,4,,,3,,7,,,,,,,,,,,,,,13,D,10,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""blinded""]",,TRUE,"[""Breath Weapon""]",FALSE,FALSE,"[""invisible""]",P,"[""wisdom""]",,FALSE,,,,FALSE,,,,,"[""Draconic"",""Sylvan""]","DR,S",,forest,MW,MM,FALSE,,,,,,TRUE,
Avoral Guardinal,FALSE,,9,16,172,23d8 + 69,N G,celestial,,,M,16,19,17,16,16,18,8,,,,8,,,,,11,,,,,,,,,,,,7,,,,21,SD,30,,,,,,50,,,TRUE,"[""Flyby""]",Cha,,O,"[""paralyzed"",""prone""]","[""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"P,R","[""strength""]",,FALSE,,,,FALSE,"[""radiant""]",,,"[""frightened""]","[""Celestial"",""Common""]","C,CE",,,MW,MPP,FALSE,,,,,,,
Silverquill Apprentice,FALSE,,2,12,44,8d8 + 8,A,humanoid,bard,,S M,10,14,13,12,11,15,4,,,,4,,,,,,6,,,,,,4,,,,6,,,,,10,,30,,,,,,,,,FALSE,,Cha,,O,"[""prone""]","[""wisdom""]",TRUE,,FALSE,TRUE,,"P,Y",,,FALSE,,,,FALSE,,,,,"[""Common plus any two languages""]","C,X",,,,SCC,FALSE,,,,,,,
Pari,FALSE,FALSE,13,16,180,19d8 + 95,L G,celestial,,,M,20,20,20,20,22,22,11,,11,10,,,,,16,11,,,,,,,,,,,,,,,,21,U,30,,,,,,90,,,TRUE,"[""Magic Resistance"",""Unusual Nature""]",Cha,,O,,"[""charisma""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"B, R,Y","[""wisdom""]",,FALSE,,,,FALSE,"[""fire"",""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""exhaustion"",""frightened""]","[""all"",""telepathy 120 ft.""]","TP,XX",mace,,"MLW,MW",JttRC,FALSE,,,,,,,
Algorith,FALSE,,10,18,153,18d8 + 72,L N,construct,,,M,21,14,19,13,16,18,8,,7,8,6,,,,7,7,,,5,,,9,,,,,,,,,,17,D,40,,,,,,40,,,TRUE,"[""Immutable Form""]",Cha,O,O,,,TRUE,"[""Multiattack""]",FALSE,FALSE,"[""stunned""]",O,"[""dexterity""]",,FALSE,,,,FALSE,"[""acid"",""cold"",""lightning""]",,"[""poison""]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""Celestial"",""Common"",""Draconic"",""Infernal""]","C,CE,DR,I",,planar,"AOE, MW",ToB1-2023,FALSE,,,,,,,
Planetar,,,16,19,200,16d10 + 112,L G,celestial,,,L,24,20,24,19,22,25,12,,11,12,,,,,,11,,,,,,,,,,,,,,,,21,U,40,,,,,,120,,,TRUE,"[""Magic Resistance""]",Cha,"F,P,R,S",I,"[""invisible""]","[""charisma"",""constitution"",""dexterity""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"R,S",,,FALSE,,,,FALSE,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""exhaustion"",""frightened""]","[""all"",""telepathy 120 ft.""]","TP,XX",greatsword,,"MLW,MW",MM,FALSE,"[""Angels""]",,,,,TRUE,
Solar,,,21,21,243,18d10 + 144,L G,celestial,,,L,26,22,26,25,25,30,17,14,14,,,,,,,14,,,,,,,,,,,,,,,,24,U,50,,,,,,150,,,TRUE,"[""Magic Resistance""]",Cha,S,I,"[""invisible""]","[""charisma"",""dexterity""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""blinded""]","F,P,R,S","[""constitution"",""dexterity""]",,TRUE,,,,FALSE,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""necrotic"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",greatsword,,"AOE, MLW,MW, RNG, RW",MM,FALSE,"[""Angels""]",,,,,TRUE,
Empyrean,,,23,22,313,19d12 + 190,C G,celestial,titan,,H,30,21,30,21,22,27,15,12,13,,,17,,,13,,,,,,,,,,,,15,,,,,16,U,50,,,,,,50,,50,TRUE,"[""Legendary Resistances"",""Magic Resistance"",""Magic Weapons""]",Cha,"B, F",I,"[""prone""]","[""charisma"",""constitution"",""dexterity""]",TRUE,,FALSE,FALSE,"[""prone"",""stunned""]",B,"[""constitution"",""strength""]",,TRUE,,,,FALSE,,,"[{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks""}]",,"[""all""]",XX,maul,,"MLW,MW, RCH",MM,FALSE,,,,,,TRUE,
Radiant Idol,FALSE,FALSE,11,18,142,15d10 + 60,L E,celestial,,,L,23,18,19,17,20,21,9,,9,,,,,,9,9,,,,,,,9,,,,9,,,,,19,SD,40,,,,,,,,,TRUE,"[""Magic Resistance""]",Cha,P,I,"[""charmed""]","[""constitution"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""charmed""]","B, R","[""constitution"",""wisdom""]",,FALSE,,,,FALSE,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""exhaustion"",""frightened""]","[""all"",""telepathy 120 ft.""]","TP,XX",flail,,"AOE, MLW,MW",ERLW,FALSE,,,,,,,
Deva,,,10,17,136,16d8 + 64,L G,celestial,,,M,18,18,18,17,20,20,9,,9,,,,,,9,9,,,,,,,,,,,,,,,,19,SD,30,,,,,,90,,,TRUE,"[""Magic Resistance""]",Cha,,I,,,TRUE,"[""Multiattack"",""Shapechanger""]",FALSE,FALSE,,"B, R",,,FALSE,,,,FALSE,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""exhaustion"",""frightened""]","[""all"",""telepathy 120 ft.""]","TP,XX",mace,,"MLW,MW",MM,FALSE,"[""Angels""]",,,,,TRUE,
Bheur Hag,FALSE,,7,17,91,14d8 + 28,C E,fey,,,M,13,16,14,12,13,16,,,4,,,,,,,4,,6,,,,,,,,4,,,,4,,14,D,30,,,,,with item; hover,50,,,TRUE,,Cha,"B, C",O,"[""paralyzed""]","[""constitution"",""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""frightened"",""incapacitated""]","B, C","[""wisdom""]",,FALSE,,,,FALSE,,,"[""cold""]",,"[""Auran"",""Common"",""Giant""]","AU,C,GI",,arctic,MW,MPMM,FALSE,,,,,,,
Abhorrent Overlord,FALSE,,9,16,136,16d10 + 48,L E,fiend,,,L,20,18,16,15,14,16,7,,,7,,,,,,,,,,,,,7,7,,,7,,,,,12,SD,30,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""charmed""]","[""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"N,S,Y","[""constitution""]",,FALSE,,,,FALSE,"[""cold"",""necrotic""]",,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Infernal""]","AB,C,I",,,"AOE, MW",MOT,FALSE,,,,,,,
Pixie,,,4-Jan,15,1,1d4 - 1,N G,fey,,,T,2,20,8,10,14,15,,,,,,,,,,4,,7,,,,,,,,,,,,,,14,,10,,,,,,30,,,TRUE,"[""Magic Resistance""]",Cha,Y,I,"[""restrained"",""unconscious""]","[""intelligence"",""strength"",""wisdom""]",TRUE,,FALSE,FALSE,"[""invisible""]",,,,FALSE,,,,FALSE,,,,,"[""Sylvan""]",S,,forest,,MM,FALSE,,,,,,TRUE,
Draegloth,,,7,15,123,13d10 + 52,C E,fiend,demon,,L,20,15,18,13,11,11,,,,,,,,,,3,,5,,,,,,,,,,,,,,13,SD,30,,,,,,,,,TRUE,"[""Fey Ancestry""]",Cha,,I,,"[""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"P,S",,,FALSE,,,,FALSE,"[""cold"",""fire"",""lightning""]",,"[""poison""]","[""poisoned""]","[""Abyssal"",""Elvish"",""Undercommon""]","AB,E,U",,underdark,"MW, RCH",VGM,FALSE,,,,,,TRUE,
Nightmare Shepherd,FALSE,,11,18,133,14d10 + 56,L E,fiend,,,L,19,15,18,14,17,20,,,7,8,,,6,,,7,,,,,,,9,,,,9,,,,,17,SD,30,,,,,,60,,,TRUE,"[""Magic Resistance""]",Cha,,I,"[""paralyzed""]","[""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"B, N,S,Y","[""wisdom""]",,FALSE,,,,FALSE,"[""cold"",""necrotic""]",,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Infernal""]","AB,C,I",,,MW,MOT,FALSE,,,,,,,
Green Abishai,FALSE,,15,18,195,26d8 + 78,L E,fiend,devil,,M,12,17,16,17,12,19,9,8,,,,,,,6,6,,,,,,,9,,,,9,,,,,16,SD,30,,,,,,40,,,TRUE,"[""Devil's Sight"",""Magic Resistance""]",Cha,"B, P,S",O,"[""charmed"",""frightened""]","[""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""poisoned""]","I,O","[""constitution""]",,FALSE,,,,FALSE,"[""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""poisoned""]","[""Draconic"",""Infernal"",""telepathy 120 ft.""]","DR,I,TP",,urban,MW,MPMM,FALSE,,,,,,,
Green Abishai,FALSE,,15,18,187,25d8 + 75,L E,fiend,devil,,M,12,17,16,17,12,19,9,8,,,,,,,6,6,,,,,,,9,,,,9,,,,,16,SD,30,,,,,,40,,,TRUE,"[""Devil's Sight"",""Magic Resistance"",""Magic Weapons""]",Cha,"B, P,S",I,"[""charmed"",""frightened""]","[""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""poisoned""]","I,P,S","[""constitution""]",,FALSE,,,,FALSE,"[""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""poisoned""]","[""Draconic"",""Infernal"",""telepathy 120 ft.""]","DR,I,TP",longsword,urban,"MLW,MW",MTF,FALSE,,,,,,TRUE,
Draegloth,FALSE,,7,15,123,13d10 + 52,C E,fiend,demon,,L,20,15,18,13,11,11,,,,,,,,,,3,,5,,,,,,,,,,,,,,13,SD,30,,,,,,,,,TRUE,"[""Fey Ancestry""]",Cha,,O,,"[""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"P,S",,,FALSE,,,,FALSE,"[""cold"",""fire"",""lightning""]",,"[""poison""]","[""poisoned""]","[""Abyssal"",""Elvish"",""Undercommon""]","AB,E,U",,underdark,"MW, RCH",MPMM,FALSE,,,,,,,
Grell Psychic,FALSE,FALSE,4,15,66,12d8 + 12,C E,aberration,,,M,17,14,13,12,11,14,,,,,,,,,,4,,6,,,,,,,,,,,,,,14,B,10,,,,,hover,30,,,FALSE,,Cha,,P,"[""frightened""]","[""wisdom""]",TRUE,"[""Multiattack"",""Tentacles""]",FALSE,FALSE,"[""poisoned""]",P,"[""constitution""]",,FALSE,,,,FALSE,,,"[""lightning""]","[""blinded"",""prone""]","[""Deep Speech"",""Grell""]","DS,OTH",,,"MW, RCH",PaBTSO,FALSE,,,,,,,
Sire of Insanity,FALSE,,12,17,157,15d12 + 60,C E,fiend,demon,,H,23,6,19,14,19,22,10,6,8,8,,,,,,,,,,,,,10,10,,,,,,,,14,U,40,,,,,,,,,TRUE,"[""Magic Resistance""]",Cha,,I,,"[""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"P,S,Y","[""wisdom""]",,FALSE,,,,FALSE,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""telepathy 120 ft.""]","AB,C,TP",,,"MW, RCH",GGR,FALSE,,,,,,,
Djinni,,,11,17,161,14d10 + 84,C G,elemental,,,L,21,15,22,15,16,20,9,,7,,6,,,,,,,,,,,,,,,,,,,,,13,SD,30,,,,,,90,,,TRUE,,Cha,T,I,"[""incapacitated"",""invisible""]","[""charisma"",""constitution""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""restrained""]","L,S,T","[""strength""]",,FALSE,,,,FALSE,,,"[""lightning"",""thunder""]",,"[""Auran""]",AU,scimitar,coastal,"AOE, MLW,MW",MM,FALSE,"[""Genies""]",,,,TRUE,TRUE,
Dao,,,11,18,187,15d10 + 105,N E,elemental,,,L,23,12,24,12,13,14,6,5,5,,,,,,,,,,,,,,,,,,,,,,,11,SD,30,,30,,,,30,,,TRUE,,Cha,Y,I,"[""frightened"",""invisible""]","[""charisma"",""dexterity"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""prone""]",B,,,FALSE,,,,FALSE,,,,"[""petrified""]","[""Terran""]",T,maul,underdark,"MLW,MW",MM,FALSE,"[""Genies""]",,,,TRUE,TRUE,
Efreeti,,,11,17,200,16d10 + 112,L E,elemental,,,L,22,12,24,16,15,16,7,7,6,,,,,,,,,,,,,,,,,,,,,,,12,SD,40,,,,,,60,,,TRUE,,Cha,F,I,,"[""charisma"",""constitution"",""dexterity""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"F,S",,,FALSE,,,,FALSE,,,"[""fire""]",,"[""Ignan""]",IG,scimitar,desert,"MLW,MW",MM,FALSE,"[""Genies""]",,,,TRUE,TRUE,
Marid,,,11,17,229,17d10 + 136,C N,elemental,,,L,22,12,26,18,17,18,8,,7,,5,,,,,,,,,,,,,,,,,,,,,13,"B, SD",30,,,,,,60,,90,TRUE,"[""Amphibious""]",Cha,B,I,"[""invisible""]","[""charisma"",""strength""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""prone""]","B, P","[""dexterity""]",,FALSE,,,,FALSE,"[""acid"",""cold"",""lightning""]",,,,"[""Aquan""]",AQ,trident,"underwater, coastal","AOE, MLW,MW, RW, THW",MM,FALSE,"[""Genies""]",,,,TRUE,TRUE,
Orobas Devil,FALSE,,14,19,203,14d10 + 126,L E,fiend,devil,,L,26,14,28,23,26,21,,,13,14,7,13,,11,13,13,,,,,,,10,,,,10,,,,,23,U,40,,,,,,,,,TRUE,"[""Magic Resistance""]",Cha,Y,O,,"[""intelligence"",""wisdom""]",TRUE,"[""Multiattack"",""Teleport""]",FALSE,TRUE,"[""poisoned""]","B, F,I,P","[""constitution""]",,FALSE,,,,FALSE,"[""acid"",""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""poisoned""]","[""Celestial"",""Infernal"",""telepathy 100 ft.""]","CE,I,TP",flail,planar,"MLW,MW, RCH",ToB1-2023,FALSE,,,,,,,
Storm Giant Tempest Caller,,,20,17,310,27d12 + 135,A,giant,sorcerer,,H,29,14,20,21,18,25,13,,10,11,,15,17,,,10,,,,,,15,,,,,,,,,adv,20,U,50,,,,,hover,50,,50,TRUE,"[""Amphibious"",""Legendary Resistances""]",Cha,B,O,,"[""charisma"",""strength"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,,"L,S","[""dexterity""]",,FALSE,,,,FALSE,"[""cold""]",,"[""lightning"",""thunder""]",,"[""Common"",""Giant"",""Primordial""]","C,GI,P",,,"AOE, MW, RCH",BGG,FALSE,,,,,,,
Galazeth Prismari,TRUE,,23,21,402,23d20 + 161,C N,dragon,sorcerer,,G,26,14,25,18,20,26,15,,12,14,9,,18,,,12,22,,,16,,,,,,,,,,,,22,B,40,,,,,,80,,,TRUE,"[""Legendary Resistances""]",Cha,B,O,,"[""dexterity"",""strength""]",TRUE,"[""Breath Weapon"",""Multiattack""]",FALSE,FALSE,"[""prone""]","C,F,L,P,S","[""dexterity""]",,TRUE,,,,FALSE,"[""lightning""]",,"[""cold"",""fire""]",,"[""Common"",""Draconic""]","C,DR",,,"AOE, MW, RCH",SCC,FALSE,,,,,,,
Countess Sansuri,TRUE,TRUE,11,14,200,16d12 + 96,N E,giant,,,H,27,10,22,16,16,16,7,,7,10,,,,,7,7,,,,,,,,,,,,,,,,17,,40,,,,,,,,,TRUE,"[""Keen Senses""]",Cha,"B, C,L,O","I,O","[""charmed"",""incapacitated"",""invisible""]","[""dexterity"",""strength"",""wisdom""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""prone""]","B, P","[""dexterity""]",,FALSE,,,,FALSE,,,,,"[""Auran"",""Common"",""Giant""]","AU,C,GI",morningstar,,"AOE, MLW,MW, RCH, RW",SKT,FALSE,,,,,,,
Cloud Giant Smiling One,,,11,15,262,21d12 + 128,C N,giant,cloud giant,,H,26,12,22,15,16,17,,6,7,10,,,,,7,7,,,,,,,11,,,,,,9,,,17,,40,,,,,,,,,TRUE,"[""Keen Senses""]",Cha,Y,"CB,I",,"[""dexterity"",""wisdom""]",TRUE,"[""Multiattack"",""Shapechanger""]",FALSE,FALSE,,B,,,FALSE,,,,FALSE,,,,,"[""Common"",""Giant""]","C,GI",morningstar,mountain,"MLW,MW, RCH, RW",VGM,FALSE,,,,,,TRUE,
Cloud Giant,,,9,14,200,16d12 + 96,N G E,giant,,,H,27,10,22,12,16,16,7,,7,10,,,,,7,7,,,,,,,,,,,,,,,,17,,40,,,,,,,,,TRUE,"[""Keen Senses""]",Cha,,I,"[""restrained""]","[""dexterity""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""prone""]","B, P","[""dexterity""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Giant""]","C,GI",morningstar,mountain,"MLW,MW, RCH, RW",MM,FALSE,,,,,TRUE,TRUE,
