name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
phoenix,,16,elemental,Gargantuan,18,175,fly,neutral,,Mordenkainen's Tome of Foes,,,,,,
hulking-crab,,5,beast,Huge,17,76,swim,unaligned,,Adventures (Storm King's Thunder),,,,,,
hook-horror,https://www.aidedd.org/dnd/monstres.php?vo=hook-horror,3,monstrosity,Large,15,75,,neutral,,Monster Manual (BR),18.0,10.0,15.0,6.0,12.0,7.0
kobold,https://www.aidedd.org/dnd/monstres.php?vo=kobold,1/8,humanoid (kobold),Small,12,5,,lawful evil,,Monster Manual (SRD),7.0,15.0,9.0,8.0,7.0,8.0
death-kiss,,10,aberration,Large,16,161,fly,neutral evil,,Volo's Guide to Monsters,,,,,,
giant-sea-horse,https://www.aidedd.org/dnd/monstres.php?vo=giant-sea-horse,1/2,beast,Large,13,16,swim,unaligned,,Monster Manual (SRD),12.0,15.0,11.0,2.0,12.0,5.0
giant-owl,https://www.aidedd.org/dnd/monstres.php?vo=giant-owl,1/4,beast,Large,12,19,fly,neutral,,Monster Manual (SRD),13.0,15.0,12.0,8.0,13.0,10.0
ancient-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-red-dragon,24,dragon,Gargantuan,22,546,fly,chaotic evil,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0
copper-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=copper-dragon-wyrmling,1,dragon,Medium,16,22,fly,chaotic good,,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0
giant-lizard,https://www.aidedd.org/dnd/monstres.php?vo=giant-lizard,1/4,beast,Large,12,19,,unaligned,,Monster Manual (SRD),15.0,12.0,13.0,2.0,10.0,5.0
giant-boar,https://www.aidedd.org/dnd/monstres.php?vo=giant-boar,2,beast,Large,12,42,,unaligned,,Monster Manual (SRD),17.0,10.0,16.0,2.0,7.0,5.0
hellfire-engine,,16,construct,Huge,18,216,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
orc-red-fang-of-shargaas,,3,humanoid (orc),Medium,15,52,,chaotic evil,,Volo's Guide to Monsters,,,,,,
yellow-musk-zombie,,1/4,undead,Medium,9,33,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
venerable-shadow,https://www.aidedd.org/dnd/monstres.php?vo=venerable-shadow,2,undead,Medium,13,27,,chaotic evil,,Extra (AideDD),6.0,16.0,13.0,6.0,12.0,10.0
gladiator,https://www.aidedd.org/dnd/monstres.php?vo=gladiator,5,humanoid (any race),Medium,16,112,,any alignment,,Monster Manual (SRD),18.0,15.0,16.0,10.0,12.0,15.0
belaphoss,https://www.aidedd.org/dnd/monstres.php?vo=belaphoss,20,fiend (demon),Huge,19,262,fly,chaotic evil,,Extra (Dragon Mag),26.0,15.0,22.0,20.0,16.0,22.0
leucrotta,,3,monstrosity,Large,14,67,,chaotic evil,,Volo's Guide to Monsters,,,,,,
mud-mephit,https://www.aidedd.org/dnd/monstres.php?vo=mud-mephit,1/4,elemental,Small,11,27,"fly, swim",neutral evil,,Monster Manual (SRD),8.0,12.0,12.0,9.0,11.0,7.0
elder-oblex,,10,ooze,Huge,16,115,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
bone-naga,,4,undead,Large,15,58,,lawful evil,,Monster Manual,,,,,,
young-remorhaz,,5,monstrosity,Large,14,93,,unaligned,,Monster Manual,,,,,,
magma-mephit,https://www.aidedd.org/dnd/monstres.php?vo=magma-mephit,1/2,elemental,Small,11,22,fly,neutral evil,,Monster Manual (SRD),8.0,12.0,12.0,7.0,10.0,10.0
barlgura,https://www.aidedd.org/dnd/monstres.php?vo=barlgura,5,fiend (demon),Large,15,68,,chaotic evil,,Monster Manual (BR),18.0,15.0,16.0,7.0,14.0,9.0
jackalwere,https://www.aidedd.org/dnd/monstres.php?vo=jackalwere,1/2,humanoid (shapechanger),Medium,12,18,,chaotic evil,,Monster Manual (BR),11.0,15.0,11.0,13.0,11.0,10.0
expert-lvl-4,,0,humanoid (any race),Medium,14,27,,any alignment,,Essentials Kit,,,,,,
warhorse-skeleton,https://www.aidedd.org/dnd/monstres.php?vo=warhorse-skeleton,1/2,undead,Large,13,22,,lawful evil,,Monster Manual (SRD),18.0,12.0,15.0,2.0,8.0,5.0
invisible-stalker,https://www.aidedd.org/dnd/monstres.php?vo=invisible-stalker,6,elemental,Medium,14,104,fly,neutral,,Monster Manual (SRD),16.0,19.0,14.0,10.0,15.0,11.0
black-abishai,,7,fiend (devil),Medium,15,58,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
death-tyrant,,14,undead,Large,19,187,fly,lawful evil,Legendary,Monster Manual,,,,,,
spirit-naga,https://www.aidedd.org/dnd/monstres.php?vo=spirit-naga,8,monstrosity,Large,15,75,,chaotic evil,,Monster Manual (SRD),18.0,17.0,14.0,16.0,15.0,16.0
stegosaurus,,4,beast,Huge,13,76,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
fire-elemental,https://www.aidedd.org/dnd/monstres.php?vo=fire-elemental,5,elemental,Large,13,102,,neutral,,Monster Manual (SRD),10.0,17.0,16.0,6.0,10.0,7.0
deer,https://www.aidedd.org/dnd/monstres.php?vo=deer,0,beast,Medium,13,4,,unaligned,,Monster Manual (SRD),11.0,16.0,11.0,2.0,14.0,5.0
drow,https://www.aidedd.org/dnd/monstres.php?vo=drow,1/4,humanoid (elf),Medium,15,13,,neutral evil,,Monster Manual (SRD),10.0,14.0,10.0,11.0,11.0,12.0
twig-blight,https://www.aidedd.org/dnd/monstres.php?vo=twig-blight,1/8,plant,Small,13,4,,neutral evil,,Monster Manual (SRD),6.0,13.0,12.0,4.0,8.0,3.0
half-ogre,https://www.aidedd.org/dnd/monstres.php?vo=half-ogre,1,giant,Large,12,30,,any chaotic alignment,,Monster Manual (BR),17.0,10.0,14.0,7.0,9.0,10.0
sahuagin-priestess,,2,humanoid (sahuagin),Medium,12,33,swim,lawful evil,,Monster Manual,,,,,,
blink-dog,https://www.aidedd.org/dnd/monstres.php?vo=blink-dog,1/4,fey,Medium,13,22,,lawful good,,Monster Manual (SRD),12.0,17.0,12.0,10.0,13.0,11.0
black-gauntlet-of-bane,,6,humanoid (human),Medium,16,51,,lawful evil,,Adventures (Descent into Avernus),,,,,,
giant-strider,,1,monstrosity,Large,14,22,,neutral evil,,Volo's Guide to Monsters,,,,,,
ogre-chain-brute,,3,giant,Large,11,59,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
boneclaw,,12,undead,Large,16,127,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
deathlock-wight,,3,undead,Medium,12,37,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
shoosuva,,8,fiend (demon),Large,14,110,,chaotic evil,,Volo's Guide to Monsters,,,,,,
roc,https://www.aidedd.org/dnd/monstres.php?vo=roc,11,monstrosity,Gargantuan,15,248,fly,unaligned,,Monster Manual (SRD),28.0,10.0,20.0,3.0,10.0,9.0
ancient-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-bronze-dragon,22,dragon,Gargantuan,22,444,"fly, swim",lawful good,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0
dire-wolf,https://www.aidedd.org/dnd/monstres.php?vo=dire-wolf,1,beast,Large,14,37,,unaligned,,Monster Manual (SRD),17.0,15.0,15.0,3.0,12.0,7.0
archmage,https://www.aidedd.org/dnd/monstres.php?vo=archmage,12,humanoid (any race),Medium,12,99,,any alignment,,Monster Manual (SRD),10.0,14.0,12.0,20.0,15.0,16.0
transmuter,,5,humanoid (any race),Medium,12,40,,any alignment,,Volo's Guide to Monsters,,,,,,
grick,https://www.aidedd.org/dnd/monstres.php?vo=grick,2,monstrosity,Medium,14,27,,neutral,,Monster Manual (SRD),14.0,14.0,11.0,3.0,14.0,5.0
iron-golem,https://www.aidedd.org/dnd/monstres.php?vo=iron-golem,16,construct,Large,20,210,,unaligned,,Monster Manual (SRD),24.0,9.0,20.0,3.0,11.0,1.0
balor,https://www.aidedd.org/dnd/monstres.php?vo=balor,19,fiend (demon),Huge,19,262,fly,chaotic evil,,Monster Manual (SRD),26.0,15.0,22.0,20.0,16.0,22.0
troll,https://www.aidedd.org/dnd/monstres.php?vo=troll,5,giant,Large,15,84,,chaotic evil,,Monster Manual (SRD),18.0,13.0,20.0,7.0,9.0,7.0
alhoon,,10,undead,Medium,15,120,,any evil alignment,,Volo's Guide to Monsters,,,,,,
gelatinous-cube,https://www.aidedd.org/dnd/monstres.php?vo=gelatinous-cube,2,ooze,Large,6,84,,unaligned,,Monster Manual (SRD),14.0,3.0,20.0,1.0,6.0,1.0
kraken,https://www.aidedd.org/dnd/monstres.php?vo=kraken,23,monstrosity (titan),Gargantuan,18,472,swim,chaotic evil,Legendary,Monster Manual (SRD),30.0,11.0,25.0,22.0,18.0,20.0
adult-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-red-dragon,17,dragon,Huge,19,256,fly,chaotic evil,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
deva,https://www.aidedd.org/dnd/monstres.php?vo=deva,10,celestial,Medium,17,136,fly,lawful good,,Monster Manual (SRD),18.0,18.0,18.0,17.0,20.0,20.0
warrior-lvl-4,,0,humanoid (any race),Medium,16,32,,any alignment,,Essentials Kit,,,,,,
brass-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=brass-dragon-wyrmling,1,dragon,Medium,16,16,fly,chaotic good,,Monster Manual (SRD),15.0,10.0,13.0,10.0,11.0,13.0
marid,,11,elemental,Large,17,229,"fly, swim",chaotic neutral,,Monster Manual,,,,,,
poisonous-snake,https://www.aidedd.org/dnd/monstres.php?vo=poisonous-snake,1/8,beast,Tiny,13,2,swim,unaligned,,Monster Manual (SRD),2.0,16.0,11.0,1.0,10.0,3.0
warhorse,https://www.aidedd.org/dnd/monstres.php?vo=warhorse,1/2,beast,Large,11,19,,unaligned,,Monster Manual (SRD),18.0,12.0,13.0,2.0,12.0,7.0
leviathan,,20,elemental,Gargantuan,17,328,swim,neutral,,Mordenkainen's Tome of Foes,,,,,,
grell,https://www.aidedd.org/dnd/monstres.php?vo=grell,3,aberration,Medium,12,55,fly,neutral evil,,Monster Manual (BR),15.0,14.0,13.0,12.0,11.0,9.0
merregon,,4,fiend (devil),Medium,16,45,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
yan-c-bin,,18,elemental,Huge,22,283,fly,neutral evil,,Adventures (Princes of the Apocalypse),,,,,,
flind,https://www.aidedd.org/dnd/monstres.php?vo=flind,9,humanoid (gnoll),Medium,16,127,,chaotic evil,,Volo's Guide to Monsters,20.0,10.0,19.0,11.0,13.0,12.0
astral-dreadnought,https://www.aidedd.org/dnd/monstres.php?vo=astral-dreadnought,21,monstrosity (titan),Gargantuan,20,297,fly,unaligned,Legendary,Mordenkainen's Tome of Foes,28.0,7.0,25.0,5.0,14.0,18.0
martial-arts-adept,,3,humanoid (any race),Medium,16,60,,any alignment,,Volo's Guide to Monsters,,,,,,
enchanter,,5,humanoid (any race),Medium,12,40,,any alignment,,Volo's Guide to Monsters,,,,,,
purple-wormling,,2,monstrosity,Large,12,42,,unaligned,,Adventures (Storm King's Thunder),,,,,,
ancient-shadow,https://www.aidedd.org/dnd/monstres.php?vo=ancient-shadow,1,undead,Medium,13,32,,chaotic evil,,Extra (AideDD),6.0,16.0,14.0,6.0,10.0,8.0
spellcaster-mage-lvl-4,,0,humanoid (any race),Medium,12,22,,any alignment,,Essentials Kit,,,,,,
duodrone,,1/4,construct,Medium,15,11,,lawful neutral,,Monster Manual,,,,,,
marilith,https://www.aidedd.org/dnd/monstres.php?vo=marilith,16,fiend (demon),Large,18,189,,chaotic evil,,Monster Manual (SRD),18.0,20.0,20.0,18.0,16.0,20.0
kraken-priest,,5,humanoid (any race),Medium,10,75,swim,any evil alignment,,Volo's Guide to Monsters,,,,,,
spined-devil,,2,fiend (devil),Small,13,22,fly,lawful evil,,Monster Manual,,,,,,
adult-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-copper-dragon,14,dragon,Huge,18,184,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
quipper,https://www.aidedd.org/dnd/monstres.php?vo=quipper,0,beast,Tiny,13,1,swim,unaligned,,Monster Manual (SRD),2.0,16.0,9.0,1.0,7.0,2.0
warrior-lvl-5,,0,humanoid (any race),Medium,16,39,,any alignment,,Essentials Kit,,,,,,
ankheg,https://www.aidedd.org/dnd/monstres.php?vo=ankheg,2,monstrosity,Large,14,39,,unaligned,,Monster Manual (SRD),17.0,11.0,13.0,1.0,13.0,6.0
guardian-naga,https://www.aidedd.org/dnd/monstres.php?vo=guardian-naga,10,monstrosity,Large,18,127,,lawful good,,Monster Manual (SRD),19.0,18.0,16.0,16.0,19.0,18.0
dretch,https://www.aidedd.org/dnd/monstres.php?vo=dretch,1/4,fiend (demon),Small,11,18,,chaotic evil,,Monster Manual (SRD),11.0,11.0,12.0,5.0,8.0,3.0
babau,,4,fiend (demon),Medium,16,82,,chaotic evil,,Volo's Guide to Monsters,,,,,,
spellcaster-healer-lvl-1,,0,humanoid (any race),Medium,12,9,,any alignment,,Essentials Kit,,,,,,
mindwitness,https://www.aidedd.org/dnd/monstres.php?vo=mindwitness,5,aberration,Large,15,75,fly,lawful evil,,Volo's Guide to Monsters,10.0,14.0,14.0,15.0,15.0,10.0
spellcaster-healer-lvl-3,,0,humanoid (any race),Medium,12,18,,any alignment,,Essentials Kit,,,,,,
stirge,https://www.aidedd.org/dnd/monstres.php?vo=stirge,1/8,beast,Tiny,14,2,fly,unaligned,,Monster Manual (SRD),4.0,16.0,11.0,2.0,8.0,6.0
deinonychus,,1,beast,Medium,13,26,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
camel,https://www.aidedd.org/dnd/monstres.php?vo=camel,1/8,beast,Large,9,15,,unaligned,,Monster Manual (SRD),16.0,8.0,14.0,2.0,8.0,5.0
stone-giant-dreamwalker,https://www.aidedd.org/dnd/monstres.php?vo=stone-giant-dreamwalker,10,giant (stone giant),Huge,18,161,,chaotic neutral,,Volo's Guide to Monsters,23.0,14.0,21.0,10.0,8.0,12.0
devilroot,https://www.aidedd.org/dnd/monstres.php?vo=devilroot,7,plant,Medium,15,105,,neutral evil,,Extra (AideDD),17.0,11.0,17.0,12.0,14.0,14.0
elder-tempest,,23,elemental,Gargantuan,19,264,fly,neutral,,Mordenkainen's Tome of Foes,,,,,,
dao,https://www.aidedd.org/dnd/monstres.php?vo=dao,11,elemental,Large,18,187,fly,neutral evil,,Monster Manual (BR),23.0,12.0,24.0,12.0,13.0,14.0
strahd-von-zarovich,,15,undead (shapechanger),Medium,16,144,,lawful evil,,Adventures (Curse of Strahd),,,,,,
gibbering-mouther,https://www.aidedd.org/dnd/monstres.php?vo=gibbering-mouther,2,aberration,Medium,9,67,swim,neutral,,Monster Manual (SRD),10.0,8.0,16.0,3.0,10.0,6.0
thri-kreen,,1,humanoid (thri-kreen),Medium,15,33,,chaotic neutral,,Monster Manual,,,,,,
doppelganger,https://www.aidedd.org/dnd/monstres.php?vo=doppelganger,3,monstrosity (shapechanger),Medium,14,52,,neutral,,Monster Manual (SRD),11.0,18.0,14.0,11.0,12.0,14.0
necromite-of-myrkul,,1/2,humanoid (human),Medium,11,13,,neutral evil,,Adventures (Descent into Avernus),,,,,,
pegasus,https://www.aidedd.org/dnd/monstres.php?vo=pegasus,2,celestial,Large,12,59,fly,chaotic good,,Monster Manual (SRD),18.0,15.0,16.0,10.0,15.0,13.0
mage,https://www.aidedd.org/dnd/monstres.php?vo=mage,6,humanoid (any race),Medium,12,40,,any alignment,,Monster Manual (SRD),9.0,14.0,11.0,17.0,12.0,11.0
kobold-scale-sorcerer,,1,humanoid (kobold),Small,15,27,,lawful evil,,Volo's Guide to Monsters,,,,,,
oni,https://www.aidedd.org/dnd/monstres.php?vo=oni,7,giant,Large,16,110,fly,lawful evil,,Monster Manual (SRD),19.0,11.0,16.0,14.0,12.0,15.0
adult-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-silver-dragon,16,dragon,Huge,19,243,fly,lawful good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
flying-snake,https://www.aidedd.org/dnd/monstres.php?vo=flying-snake,1/8,beast,Tiny,14,5,"fly, swim",unaligned,,Monster Manual (SRD),4.0,18.0,11.0,2.0,12.0,5.0
drow-mage,https://www.aidedd.org/dnd/monstres.php?vo=drow-mage,7,humanoid (elf),Medium,12,45,,neutral evil,,Monster Manual (BR),9.0,14.0,10.0,17.0,13.0,12.0
tabaxi-hunter,,1,humanoid (tabaxi),Medium,14,40,,chaotic good,,Adventures (Tomb of Annihilation),,,,,,
green-hag,https://www.aidedd.org/dnd/monstres.php?vo=green-hag,3,fey,Medium,17,82,,neutral evil,,Monster Manual (SRD),18.0,12.0,16.0,13.0,14.0,14.0
autumn-eladrin,,10,fey (elf),Medium,19,127,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
skulk,,1/2,humanoid,Medium,14,18,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
unicorn,https://www.aidedd.org/dnd/monstres.php?vo=unicorn,5,celestial,Large,12,67,,lawful good,Legendary,Monster Manual (SRD),18.0,14.0,15.0,11.0,17.0,16.0
evoker,,9,humanoid (any race),Medium,12,66,,any alignment,,Volo's Guide to Monsters,,,,,,
swarm-of-bats,https://www.aidedd.org/dnd/monstres.php?vo=swarm-of-bats,1/4,swarm of Tiny beasts,Medium,12,22,fly,unaligned,,Monster Manual (SRD),5.0,15.0,10.0,2.0,12.0,4.0
tortle,,1/4,humanoid (tortle),Medium,17,22,,lawful good,,Mordenkainen's Tome of Foes,,,,,,
giant-badger,https://www.aidedd.org/dnd/monstres.php?vo=giant-badger,1/4,beast,Medium,10,13,,unaligned,,Monster Manual (SRD),13.0,10.0,15.0,2.0,12.0,5.0
kuo-toa,https://www.aidedd.org/dnd/monstres.php?vo=kuo-toa,1/4,humanoid (kuo-toa),Medium,13,18,swim,neutral evil,,Monster Manual (BR),13.0,10.0,11.0,11.0,10.0,8.0
zaratan,,22,elemental,Gargantuan,21,307,swim,neutral,,Mordenkainen's Tome of Foes,,,,,,
young-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-green-dragon,8,dragon,Large,18,136,"fly, swim",lawful evil,,Monster Manual (SRD),19.0,12.0,17.0,16.0,13.0,15.0
star-spawn-mangler,,5,aberration,Medium,14,71,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
djinni,https://www.aidedd.org/dnd/monstres.php?vo=djinni,11,elemental,Large,17,161,fly,chaotic good,,Monster Manual (SRD),21.0,15.0,22.0,15.0,16.0,20.0
swarm-of-ravens,https://www.aidedd.org/dnd/monstres.php?vo=swarm-of-ravens,1/4,swarm of Tiny beasts,Medium,12,24,fly,unaligned,,Monster Manual (SRD),6.0,14.0,8.0,3.0,12.0,6.0
giant-hyena,https://www.aidedd.org/dnd/monstres.php?vo=giant-hyena,1,beast,Large,12,45,,unaligned,,Monster Manual (SRD),16.0,14.0,14.0,2.0,12.0,7.0
titivilus,,16,fiend (devil),Medium,20,127,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
wolf,https://www.aidedd.org/dnd/monstres.php?vo=wolf,1/4,beast,Medium,13,11,,unaligned,,Monster Manual (SRD),12.0,15.0,12.0,3.0,12.0,6.0
blood-hawk,https://www.aidedd.org/dnd/monstres.php?vo=blood-hawk,1/8,beast,Small,12,7,fly,unaligned,,Monster Manual (SRD),6.0,14.0,10.0,3.0,14.0,5.0
gnoll-fang-of-yeenoghu,,4,fiend (gnoll),Medium,14,65,,chaotic evil,,Monster Manual,,,,,,
giant-frog,https://www.aidedd.org/dnd/monstres.php?vo=giant-frog,1/4,beast,Medium,11,18,swim,unaligned,,Monster Manual (SRD),12.0,13.0,11.0,2.0,10.0,3.0
hezrou,https://www.aidedd.org/dnd/monstres.php?vo=hezrou,8,fiend (demon),Large,16,136,,chaotic evil,,Monster Manual (SRD),19.0,17.0,20.0,5.0,12.0,13.0
duergar-despot,,12,humanoid (dwarf),Medium,21,119,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
minotaur,https://www.aidedd.org/dnd/monstres.php?vo=minotaur,3,monstrosity,Large,14,76,,chaotic evil,,Monster Manual (SRD),18.0,11.0,16.0,6.0,16.0,9.0
shadow-dancer,,7,humanoid (elf),Medium,15,71,,neutral,,Mordenkainen's Tome of Foes,,,,,,
githzerai-monk,,2,humanoid (gith),Medium,14,38,,lawful neutral,,Monster Manual,,,,,,
winged-kobold,https://www.aidedd.org/dnd/monstres.php?vo=winged-kobold,1/4,humanoid (kobold),Small,13,7,fly,lawful evil,,Monster Manual (BR),7.0,16.0,9.0,8.0,7.0,8.0
reef-shark,https://www.aidedd.org/dnd/monstres.php?vo=reef-shark,1/2,beast,Medium,12,22,swim,unaligned,,Monster Manual (SRD),14.0,13.0,13.0,1.0,10.0,4.0
tarrasque,https://www.aidedd.org/dnd/monstres.php?vo=tarrasque,30,monstrosity (titan),Gargantuan,25,676,,unaligned,Legendary,Monster Manual (SRD),30.0,11.0,30.0,3.0,11.0,11.0
kuo-toa-archpriest,https://www.aidedd.org/dnd/monstres.php?vo=kuo-toa-archpriest,6,humanoid (kuo-toa),Medium,13,97,swim,neutral evil,,Monster Manual (BR),16.0,14.0,16.0,13.0,16.0,14.0
adult-oblex,,5,ooze,Medium,14,75,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
young-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-copper-dragon,7,dragon,Large,17,119,fly,chaotic good,,Monster Manual (SRD),19.0,12.0,17.0,16.0,13.0,15.0
orthon,,10,fiend (devil),Large,17,105,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
griffon,https://www.aidedd.org/dnd/monstres.php?vo=griffon,2,monstrosity,Large,12,59,fly,unaligned,,Monster Manual (SRD),18.0,15.0,16.0,2.0,13.0,8.0
reef-manta-ray,https://www.aidedd.org/dnd/monstres.php?vo=reef-manta-ray,1/2,beast,Large,12,16,swim,unaligned,,Extra (AideDD),13.0,12.0,12.0,1.0,12.0,4.0
brontosaurus,,5,beast,Gargantuan,15,121,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
swarm-of-insects,https://www.aidedd.org/dnd/monstres.php?vo=swarm-of-insects,1/2,swarm of Tiny beasts,Medium,12,22,,unaligned,,Monster Manual (SRD),3.0,13.0,10.0,1.0,7.0,1.0
elder-brain,,14,aberration,Large,10,210,swim,lawful evil,Legendary,Volo's Guide to Monsters,,,,,,
narzugon,https://www.aidedd.org/dnd/monstres.php?vo=narzugon,13,fiend (devil),Medium,20,112,,lawful evil,,Mordenkainen's Tome of Foes,20.0,10.0,17.0,16.0,14.0,19.0
githyanki-supreme-commander,,14,humanoid (gith),Medium,18,187,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
geryon,,22,fiend (devil),Huge,19,300,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
yagnoloth,,11,fiend (yugoloth),Large,17,147,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
bronze-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=bronze-dragon-wyrmling,2,dragon,Medium,17,32,"fly, swim",lawful good,,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
catoblepas,,5,monstrosity,Large,14,84,,unaligned,,Volo's Guide to Monsters,,,,,,
molydeus,,21,fiend (demon),Huge,19,216,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
lich,https://www.aidedd.org/dnd/monstres.php?vo=lich,21,undead,Medium,17,135,,any evil alignment,Legendary,Monster Manual (SRD),11.0,16.0,16.0,20.0,14.0,16.0
redcap,,3,fey,Small,13,45,,chaotic evil,,Volo's Guide to Monsters,,,,,,
cult-fanatic,https://www.aidedd.org/dnd/monstres.php?vo=cult-fanatic,2,humanoid (any race),Medium,13,33,,any non-good alignment,,Monster Manual (SRD),11.0,14.0,12.0,10.0,13.0,14.0
riding-horse,https://www.aidedd.org/dnd/monstres.php?vo=riding-horse,1/4,beast,Large,10,13,,unaligned,,Monster Manual (SRD),16.0,10.0,12.0,2.0,11.0,7.0
conjurer,,6,humanoid (any race),Medium,12,40,,any alignment,,Volo's Guide to Monsters,,,,,,
owlbear,https://www.aidedd.org/dnd/monstres.php?vo=owlbear,3,monstrosity,Large,13,59,,unaligned,,Monster Manual (SRD),20.0,12.0,17.0,3.0,12.0,7.0
yeenoghu,,24,fiend (demon),Huge,20,333,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
spring-eladrin,,10,fey (elf),Medium,19,127,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
dragonbait,,5,humanoid (saurial),Medium,17,120,,lawful good,,Adventures (Tomb of Annihilation),,,,,,
sprite,https://www.aidedd.org/dnd/monstres.php?vo=sprite,1/4,fey,Tiny,15,2,fly,neutral good,,Monster Manual (SRD),3.0,18.0,10.0,14.0,13.0,11.0
commoner,https://www.aidedd.org/dnd/monstres.php?vo=commoner,0,humanoid (any race),Medium,10,4,,any alignment,,Monster Manual (SRD),10.0,10.0,10.0,10.0,10.0,10.0
xvart-warlock-of-raxivort,,1,humanoid (xvart),Small,12,22,,chaotic evil,,Volo's Guide to Monsters,,,,,,
duergar,https://www.aidedd.org/dnd/monstres.php?vo=duergar,1,humanoid (dwarf),Medium,16,26,,lawful evil,,Monster Manual (SRD),14.0,11.0,14.0,11.0,10.0,9.0
the-angry,,13,monstrosity,Medium,18,255,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
yeth-hound,,4,fey,Large,14,51,fly,neutral evil,,Volo's Guide to Monsters,,,,,,
iron-consul,,2,humanoid (human),Medium,16,45,,lawful evil,,Adventures (Descent into Avernus),,,,,,
pixie,,1/4,fey,Tiny,15,1,fly,neutral good,,Monster Manual,,,,,,
warlock-of-the-fiend,,7,humanoid (any race),Medium,12,78,,any alignment,,Volo's Guide to Monsters,,,,,,
bodak,,6,undead,Medium,15,58,,chaotic evil,,Volo's Guide to Monsters,,,,,,
xorn,https://www.aidedd.org/dnd/monstres.php?vo=xorn,5,elemental,Medium,19,73,,neutral,,Monster Manual (SRD),17.0,10.0,22.0,11.0,10.0,11.0
death-slaad,,10,aberration (shapechanger),Medium,18,170,,chaotic evil,,Monster Manual,,,,,,
expert-lvl-6,,0,humanoid (any race),Medium,14,38,,any alignment,,Essentials Kit,,,,,,
spellcaster-mage-lvl-2,,0,humanoid (any race),Medium,12,13,,any alignment,,Essentials Kit,,,,,,
blue-slaad,,7,aberration,Large,15,123,,chaotic neutral,,Monster Manual,,,,,,
yuan-ti-abomination,https://www.aidedd.org/dnd/monstres.php?vo=yuan-ti-abomination,7,"monstrosity (shapechanger, yuan-ti)",Large,15,127,,neutral evil,,Monster Manual (BR),19.0,16.0,17.0,17.0,15.0,18.0
giant-fire-beetle,https://www.aidedd.org/dnd/monstres.php?vo=giant-fire-beetle,0,beast,Small,13,4,,unaligned,,Monster Manual (SRD),8.0,10.0,12.0,1.0,7.0,3.0
swarm-of-rats,https://www.aidedd.org/dnd/monstres.php?vo=swarm-of-rats,1/4,swarm of Tiny beasts,Medium,10,24,,unaligned,,Monster Manual (SRD),9.0,11.0,9.0,2.0,10.0,3.0
boggle,,1/8,fey,Small,14,18,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
