name,cr,type,size,ac,hp,speed,Walk Speed,Swim Speed,Fly Speed,Climb Speed,Burrow Speed,align,legendary,source,str,dex,con,int,wis,cha
fire-elemental-myrmidon,7,elemental,Medium,18,123,,,,,,,neutral,,Mordenkainen's Tome of Foes,,,,,,
fire-giant,9,giant,Huge,18,162,,,,,,,lawful evil,,Monster Manual (SRD),25,9,23,10,14,13
fire-giant-dreadnought,14,giant,Huge,21,187,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
fire-snake,1,elemental,Medium,14,22,,,,,,,neutral evil,,Monster Manual (BR),12,14,11,7,10,8
firenewt-warlock-of-imix,1,humanoid,Medium,10,33,,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
firenewt-warrior,1/2,humanoid,Medium,16,22,,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
fist-of-bane,1/2,humanoid,Medium,18,22,,,,,,,lawful evil,,Adventures (Descent into Avernus),,,,,,
flail-snail,3,elemental,Large,16,52,,,,,,,unaligned,,Volo's Guide to Monsters,,,,,,
flameskull,4,undead,Tiny,13,40,fly,,,,,,neutral evil,,Monster Manual (SRD),1,17,14,16,10,11
flesh-golem,5,construct,Medium,9,93,,,,,,,neutral,,Monster Manual (SRD),19,9,18,6,10,5
flind,9,humanoid,Medium,16,127,,,,,,,chaotic evil,,Volo's Guide to Monsters,20,10,19,11,13,12
flumph,1/8,aberration,Small,12,7,fly,,,,,,lawful good,,Monster Manual,,,,,,
flying-snake,1/8,beast,Tiny,14,5,"fly, swim",,,,,,unaligned,,Monster Manual (SRD),4,18,11,2,12,5
flying-sword,1/4,construct,Small,17,17,fly,,,,,,unaligned,,Monster Manual (SRD),12,15,11,1,5,1
fomorian,8,giant,Huge,14,149,,,,,,,chaotic evil,,Monster Manual,,,,,,
fraz-urb-luu,23,fiend (demon),Large,18,337,fly,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
frog,0,beast,Tiny,11,1,swim,,,,,,unaligned,,Monster Manual (SRD),1,13,8,1,8,3
froghemoth,10,monstrosity,Huge,14,184,swim,,,,,,unaligned,,Volo's Guide to Monsters,23,13,20,2,12,5
frost-giant,8,giant,Huge,15,138,,,,,,,neutral evil,,Monster Manual (SRD),23,9,21,9,10,12
frost-giant-everlasting-one,12,giant,Huge,15,189,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
frost-salamander,9,elemental,Huge,17,168,,,,,,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
galeb-duhr,6,elemental,Medium,16,85,,,,,,,neutral,,Monster Manual (BR),20,14,20,11,12,11
gargoyle,2,elemental,Medium,15,52,fly,,,,,,chaotic evil,,Monster Manual (SRD),15,11,16,6,11,7
gas-spore,1/2,plant,Large,5,1,fly,,,,,,unaligned,,Monster Manual,,,,,,
gauth,6,aberration,Medium,15,67,fly,,,,,,lawful evil,,Volo's Guide to Monsters,10,14,16,15,15,13
gazer,1/2,aberration,Tiny,13,13,fly,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
gelatinous-cube,2,ooze,Large,6,84,,,,,,,unaligned,,Monster Manual (SRD),14,3,20,1,6,1
geryon,22,fiend (devil),Huge,19,300,fly,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
ghast,2,undead,Medium,13,36,,,,,,,chaotic evil,,Monster Manual (SRD),16,17,10,11,10,8
ghost,4,undead,Medium,11,45,fly,,,,,,any alignment,,Monster Manual (SRD),7,13,10,10,12,17
ghoul,1,undead,Medium,12,22,,,,,,,chaotic evil,,Monster Manual (SRD),13,15,10,7,10,6
giant-ape,7,beast,Huge,12,157,,,,,,,unaligned,,Monster Manual (SRD),23,14,18,7,12,7
giant-badger,1/4,beast,Medium,10,13,,,,,,,unaligned,,Monster Manual (SRD),13,10,15,2,12,5
giant-bat,1/4,beast,Large,13,22,fly,,,,,,unaligned,,Monster Manual (SRD),15,16,11,2,12,6
giant-boar,2,beast,Large,12,42,,,,,,,unaligned,,Monster Manual (SRD),17,10,16,2,7,5
giant-centipede,1/4,beast,Small,13,4,,,,,,,unaligned,,Monster Manual (SRD),5,14,12,1,7,3
giant-constrictor-snake,2,beast,Huge,12,60,swim,,,,,,unaligned,,Monster Manual (SRD),19,14,12,1,10,3
giant-crab,1/8,beast,Medium,15,13,swim,,,,,,unaligned,,Monster Manual (SRD),13,15,11,1,9,3
giant-crocodile,5,beast,Huge,14,85,swim,,,,,,unaligned,,Monster Manual (SRD),21,9,17,2,10,7
giant-eagle,1,beast,Large,13,26,fly,,,,,,neutral good,,Monster Manual (SRD),16,17,13,8,14,10
giant-elk,2,beast,Huge,14,42,,,,,,,unaligned,,Monster Manual (SRD),19,16,14,7,14,10
giant-fire-beetle,0,beast,Small,13,4,,,,,,,unaligned,,Monster Manual (SRD),8,10,12,1,7,3
giant-four-armed-gargoyle,10,elemental,Large,17,147,fly,,,,,,chaotic evil,,Adventures (Tomb of Annihilation),,,,,,
giant-frog,1/4,beast,Medium,11,18,swim,,,,,,unaligned,,Monster Manual (SRD),12,13,11,2,10,3
giant-goat,1/2,beast,Large,11,19,,,,,,,unaligned,,Monster Manual (SRD),17,11,12,3,12,6
giant-hyena,1,beast,Large,12,45,,,,,,,unaligned,,Monster Manual (SRD),16,14,14,2,12,7
giant-lizard,1/4,beast,Large,12,19,,,,,,,unaligned,,Monster Manual (SRD),15,12,13,2,10,5
giant-octopus,1,beast,Large,11,52,swim,,,,,,unaligned,,Monster Manual (SRD),17,13,13,4,10,4
giant-owl,1/4,beast,Large,12,19,fly,,,,,,neutral,,Monster Manual (SRD),13,15,12,8,13,10
giant-poisonous-snake,1/4,beast,Medium,14,11,swim,,,,,,unaligned,,Monster Manual (SRD),10,18,13,2,10,3
giant-rat,1/8,beast,Small,12,7,,,,,,,unaligned,,Monster Manual (SRD),7,15,11,2,10,4
giant-scorpion,3,beast,Large,15,52,,,,,,,unaligned,,Monster Manual (SRD),15,13,15,1,9,3
giant-sea-horse,1/2,beast,Large,13,16,swim,,,,,,unaligned,,Monster Manual (SRD),12,15,11,2,12,5
giant-shark,5,beast,Huge,13,126,swim,,,,,,unaligned,,Monster Manual (SRD),23,11,21,1,10,5
giant-spider,1,beast,Large,14,26,,,,,,,unaligned,,Monster Manual (SRD),14,16,12,2,11,4
giant-strider,1,monstrosity,Large,14,22,,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
giant-toad,1,beast,Large,11,39,swim,,,,,,unaligned,,Monster Manual (SRD),15,13,13,2,10,3
giant-two-headed-goat,1/2,beast,Large,11,19,,,,,,,unaligned,,Extra (Adventurers League),17,11,12,3,12,6
giant-vulture,1,beast,Large,10,22,fly,,,,,,neutral evil,,Monster Manual (SRD),15,10,15,6,12,7
giant-wasp,1/2,beast,Medium,12,13,fly,,,,,,unaligned,,Monster Manual (SRD),10,14,10,1,10,3
giant-weasel,1/8,beast,Medium,13,9,,,,,,,unaligned,,Monster Manual (SRD),11,16,10,4,12,5
giant-wolf-spider,1/4,beast,Medium,13,11,,,,,,,unaligned,,Monster Manual (SRD),12,16,13,3,12,4
gibbering-mouther,2,aberration,Medium,9,67,swim,,,,,,neutral,,Monster Manual (SRD),10,8,16,3,10,6
giff,3,humanoid,Medium,16,60,,,,,,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
girallon,4,monstrosity,Large,13,59,,,,,,,unaligned,,Volo's Guide to Monsters,,,,,,
githyanki-gish,10,humanoid,Medium,17,123,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
githyanki-kith--rak,12,humanoid,Medium,18,180,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
githyanki-knight,8,humanoid,Medium,18,91,,,,,,,lawful evil,,Monster Manual,,,,,,
githyanki-supreme-commander,14,humanoid,Medium,18,187,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
githyanki-warrior,3,humanoid,Medium,17,49,,,,,,,lawful evil,,Monster Manual,,,,,,
githzerai-anarch,16,humanoid,Medium,20,144,fly,,,,,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
githzerai-enlightned,10,humanoid,Medium,18,112,,,,,,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
githzerai-monk,2,humanoid,Medium,14,38,,,,,,,lawful neutral,,Monster Manual,,,,,,
githzerai-zerth,6,humanoid,Medium,17,84,,,,,,,lawful neutral,,Monster Manual,,,,,,
glabrezu,9,fiend (demon),Large,17,157,,,,,,,chaotic evil,,Monster Manual (SRD),20,15,21,19,17,16
gladiator,5,humanoid,Medium,16,112,,,,,,,any alignment,,Monster Manual (SRD),18,15,16,10,12,15
gloom-weaver,9,humanoid,Medium,14,104,,,,,,,neutral,,Mordenkainen's Tome of Foes,,,,,,
gnoll,1/2,humanoid,Medium,15,22,,,,,,,chaotic evil,,Monster Manual (SRD),14,12,11,6,10,7
gnoll-fang-of-yeenoghu,4,fiend,Medium,14,65,,,,,,,chaotic evil,,Monster Manual,,,,,,
gnoll-flesh-gnawer,1,humanoid,Medium,14,22,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
gnoll-hunter,1/2,humanoid,Medium,13,22,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
gnoll-pack-lord,2,humanoid,Medium,15,49,,,,,,,chaotic evil,,Monster Manual (BR),16,14,13,8,11,9
gnoll-witherling,1/4,undead,Medium,12,11,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
goat,0,beast,Medium,10,4,,,,,,,unaligned,,Monster Manual (SRD),12,10,11,2,10,5
goblin,1/4,humanoid,Small,15,7,,,,,,,neutral evil,,Monster Manual (SRD),8,14,10,10,8,8
goblin-boss,1,humanoid,Small,17,21,,,,,,,neutral evil,,Monster Manual,,,,,,
gold-dragon-wyrmling,3,dragon,Medium,17,60,"fly, swim",,,,,,lawful good,,Monster Manual (SRD),19,14,17,14,11,16
gorgon,5,monstrosity,Large,19,114,,,,,,,unaligned,,Monster Manual (SRD),20,11,18,2,12,7
goristro,17,fiend (demon),Huge,19,310,,,,,,,chaotic evil,,Monster Manual,,,,,,
gray-ooze,1/2,ooze,Medium,8,22,,,,,,,unaligned,,Monster Manual (SRD),12,6,16,1,6,2
gray-render,12,monstrosity,Large,19,189,,,,,,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
gray-slaad,9,aberration ,Medium,18,127,,,,,,,chaotic neutral,,Monster Manual,,,,,,
graz-zt,24,fiend (demon),Large,20,346,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
green-abishai,15,fiend (devil),Medium,18,187,fly,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
green-dragon-wyrmling,2,dragon,Medium,17,38,"fly, swim",,,,,,lawful evil,,Monster Manual (SRD),15,12,13,14,11,13
green-hag,3,fey,Medium,17,82,,,,,,,neutral evil,,Monster Manual (SRD),18,12,16,13,14,14
green-slaad,8,aberration ,Large,16,127,,,,,,,chaotic neutral,,Monster Manual,,,,,,
grell,3,aberration,Medium,12,55,fly,,,,,,neutral evil,,Monster Manual (BR),15,14,13,12,11,9
grick,2,monstrosity,Medium,14,27,,,,,,,neutral,,Monster Manual (SRD),14,14,11,3,14,5
grick-alpha,7,monstrosity,Large,18,75,,,,,,,neutral,,Monster Manual,,,,,,
griffon,2,monstrosity,Large,12,59,fly,,,,,,unaligned,,Monster Manual (SRD),18,15,16,2,13,8
grimlock,1/4,humanoid,Medium,11,11,,,,,,,neutral evil,,Monster Manual (SRD),16,12,12,9,8,6
grung,1/4,humanoid,Small,12,11,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
grung-elite-warrior,2,humanoid,Small,13,49,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
grung-wildling,1,humanoid,Small,13,27,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
guard,1/8,humanoid,Medium,16,11,,,,,,,any alignment,,Monster Manual (SRD),13,12,12,10,11,10
guard-drake,2,dragon,Medium,14,52,,,,,,,unaligned,,Volo's Guide to Monsters,,,,,,
guardian-naga,10,monstrosity,Large,18,127,,,,,,,lawful good,,Monster Manual (SRD),19,18,16,16,19,18
gynosphinx,11,monstrosity,Large,17,136,fly,,,,,,lawful neutral,Legendary,Monster Manual (SRD),18,15,16,18,18,18
halaster-blackcloak,23,humanoid,Medium,14,246,,,,,,,chaotic evil,,Adventures (Dungeon of the Mad Mage),,,,,,
half-ogre,1,giant,Large,12,30,,,,,,,any chaotic alignment,,Monster Manual (BR),17,10,14,7,9,10
half-red-dragon-veteran,5,humanoid,Medium,18,65,,,,,,,any alignment,,Monster Manual (BR),16,13,14,10,11,10
harpy,1,monstrosity,Medium,11,38,fly,,,,,,chaotic evil,,Monster Manual (SRD),12,13,12,7,10,13
hawk,0,beast,Tiny,13,1,fly,,,,,,unaligned,,Monster Manual (SRD),5,16,8,2,14,6
hell-hound,3,fiend,Medium,15,45,,,,,,,lawful evil,,Monster Manual (SRD),17,12,14,6,13,6
hellfire-engine,16,construct,Huge,18,216,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
hellwasp,5,fiend,Large,19,52,fly,,,,,,lawful evil,,Adventures (Descent into Avernus),,,,,,
helmed-horror,4,construct,Medium,20,60,fly,,,,,,neutral,,Monster Manual (BR),18,13,16,10,10,10
hezrou,8,fiend (demon),Large,16,136,,,,,,,chaotic evil,,Monster Manual (SRD),19,17,20,5,12,13
hill-giant,5,giant,Huge,13,105,,,,,,,chaotic evil,,Monster Manual (SRD),21,8,19,5,9,6
hippogriff,1,monstrosity,Large,11,19,fly,,,,,,unaligned,,Monster Manual (SRD),17,13,13,2,12,8
hobgoblin,1/2,humanoid,Medium,18,11,,,,,,,lawful evil,,Monster Manual (SRD),13,12,12,10,10,9
hobgoblin-captain,3,humanoid,Medium,17,39,,,,,,,lawful evil,,Monster Manual (BR),15,14,14,12,10,13
hobgoblin-devastator,4,humanoid,Medium,13,45,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
hobgoblin-iron-shadow,2,humanoid,Medium,15,32,,,,,,,lawful evil,,Volo's Guide to Monsters,14,16,15,14,15,11
hobgoblin-warlord,6,humanoid,Medium,20,97,,,,,,,lawful evil,,Monster Manual,,,,,,
homunculus,0,construct,Tiny,13,5,fly,,,,,,neutral,,Monster Manual (SRD),4,15,11,10,10,7
hook-horror,3,monstrosity,Large,15,75,,,,,,,neutral,,Monster Manual (BR),18,10,15,6,12,7
horned-devil,11,fiend (devil),Large,18,178,fly,,,,,,lawful evil,,Monster Manual (SRD),22,17,21,12,16,17
howler,8,fiend,Large,16,90,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
hulking-crab,5,beast,Huge,17,76,swim,,,,,,unaligned,,Adventures (Storm King's Thunder),,,,,,
hunter-shark,2,beast,Large,12,45,swim,,,,,,unaligned,,Monster Manual (SRD),18,13,15,1,10,4
hutijin,21,fiend (devil),Large,19,200,fly,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
hydra,8,monstrosity,Huge,15,172,swim,,,,,,unaligned,,Monster Manual (SRD),20,12,20,2,10,7
hydroloth,9,fiend (yugoloth),Medium,15,135,swim,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
hyena,0,beast,Medium,11,5,,,,,,,unaligned,,Monster Manual (SRD),11,13,12,2,12,5
ice-devil,14,fiend (devil),Large,18,180,,,,,,,lawful evil,,Monster Manual (SRD),21,14,18,18,15,18
ice-mephit,1/2,elemental,Small,11,21,fly,,,,,,neutral evil,,Monster Manual (SRD),7,13,10,9,11,12
ice-toad,1,monstrosity,Medium,12,32,swim,,,,,,neutral,,Adventures (Tyranny of Dragons),,,,,,
illusionist,3,humanoid,Medium,12,38,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
imix,19,elemental,Huge,17,325,fly,,,,,,neutral evil,,Adventures (Princes of the Apocalypse),,,,,,
imp,1,fiend (devil),Tiny,13,10,fly,,,,,,lawful evil,,Monster Manual (SRD),6,17,13,11,12,14
intellect-devourer,2,aberration,Tiny,12,21,,,,,,,lawful evil,,Monster Manual,,,,,,
invisible-stalker,6,elemental,Medium,14,104,fly,,,,,,neutral,,Monster Manual (SRD),16,19,14,10,15,11
iron-cobra,4,construct,Medium,13,45,,,,,,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
iron-consul,2,humanoid,Medium,16,45,,,,,,,lawful evil,,Adventures (Descent into Avernus),,,,,,
iron-golem,16,construct,Large,20,210,,,,,,,unaligned,,Monster Manual (SRD),24,9,20,3,11,1
jackal,0,beast,Small,12,3,,,,,,,unaligned,,Monster Manual (SRD),8,15,11,3,12,6
jackalwere,1/2,humanoid,Medium,12,18,,,,,,,chaotic evil,,Monster Manual (BR),11,15,11,13,11,10
jaculi,1/2,beast,Large,14,16,,,,,,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
jarlaxle-baenre,15,humanoid,Medium,24,123,,,,,,,chaotic neutral,,Adventures (Dragon Heist),,,,,,
juiblex,23,fiend (demon),Huge,18,350,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
kamadan,4,monstrosity,Large,13,67,,,,,,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
kenku,1/4,humanoid,Medium,13,13,,,,,,,chaotic neutral,,Monster Manual (BR),10,16,10,11,10,10
ki-rin,12,celestial,Huge,20,152,fly,,,,,,lawful good,Legendary,Volo's Guide to Monsters,,,,,,
killer-whale,3,beast,Huge,12,90,swim,,,,,,unaligned,,Monster Manual (SRD),19,10,13,3,12,7
knight,3,humanoid,Medium,18,52,,,,,,,any alignment,,Monster Manual (SRD),16,11,14,11,11,15
kobold,1/8,humanoid,Small,12,5,,,,,,,lawful evil,,Monster Manual (SRD),7,15,9,8,7,8
kobold-dragonshield,1,humanoid,Small,15,44,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
kobold-inventor,1/4,humanoid,Small,12,13,,,,,,,lawful evil,,Volo's Guide to Monsters,7,15,12,8,7,8
kobold-scale-sorcerer,1,humanoid,Small,15,27,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
korred,7,fey,Small,17,102,,,,,,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
kraken,23,monstrosity,Gargantuan,18,472,swim,,,,,,chaotic evil,Legendary,Monster Manual (SRD),30,11,25,22,18,20
kraken-priest,5,humanoid,Medium,10,75,swim,,,,,,any evil alignment,,Volo's Guide to Monsters,,,,,,
kruthik-hive-lord,5,monstrosity,Large,20,102,,,,,,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
kuo-toa,1/4,humanoid,Medium,13,18,swim,,,,,,neutral evil,,Monster Manual (BR),13,10,11,11,10,8
kuo-toa-archpriest,6,humanoid,Medium,13,97,swim,,,,,,neutral evil,,Monster Manual (BR),16,14,16,13,16,14
kuo-toa-whip,1,humanoid,Medium,11,65,swim,,,,,,neutral evil,,Monster Manual (BR),14,10,14,12,14,11
laeral-silverhand,17,humanoid,Medium,18,228,,,,,,,chaotic good,,Adventures (Dragon Heist),13,17,20,20,20,19
lamia,4,monstrosity,Large,13,97,,,,,,,chaotic evil,,Monster Manual (SRD),16,13,15,14,15,16
lemure,0,fiend (devil),Medium,7,13,,,,,,,lawful evil,,Monster Manual (SRD),10,5,11,1,11,3
leucrotta,3,monstrosity,Large,14,67,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
leviathan,20,elemental,Gargantuan,17,328,swim,,,,,,neutral,,Mordenkainen's Tome of Foes,,,,,,
lich,21,undead,Medium,17,135,,,,,,,any evil alignment,Legendary,Monster Manual (SRD),11,16,16,20,14,16
lion,1,beast,Large,12,26,,,,,,,unaligned,,Monster Manual (SRD),17,15,13,3,12,8
lizard,0,beast,Tiny,10,2,,,,,,,unaligned,,Monster Manual (SRD),2,11,10,1,8,3
lizard-king-queen,4,humanoid,Medium,15,78,swim,,,,,,chaotic evil,,Monster Manual (BR),17,12,15,11,11,15
lizardfolk,1/2,humanoid,Medium,15,22,swim,,,,,,neutral,,Monster Manual (SRD),15,10,13,7,12,7
lizardfolk-shaman,2,humanoid,Medium,13,27,swim,,,,,,neutral,,Monster Manual (BR),15,10,13,10,15,8
mage,6,humanoid,Medium,12,40,,,,,,,any alignment,,Monster Manual (SRD),9,14,11,17,12,11
magma-mephit,1/2,elemental,Small,11,22,fly,,,,,,neutral evil,,Monster Manual (SRD),8,12,12,7,10,10
magmin,1/2,elemental,Small,14,9,,,,,,,chaotic neutral,,Monster Manual (SRD),7,15,12,8,11,10
male-steeder,1/4,monstrosity,Medium,12,13,,,,,,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
mammoth,6,beast,Huge,13,126,,,,,,,unaligned,,Monster Manual (SRD),24,9,21,3,11,6
manes,1/8,fiend (demon),Small,9,9,,,,,,,chaotic evil,,Monster Manual,,,,,,
manshoon,13,humanoid,Medium,19,126,,,,,,,lawful evil,,Adventures (Dragon Heist),,,,,,
manticore,3,monstrosity,Large,14,68,fly,,,,,,lawful evil,,Monster Manual (SRD),17,16,17,7,12,8
mantrap,1,plant,Large,12,45,,,,,,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
marid,11,elemental,Large,17,229,"fly, swim",,,,,,chaotic neutral,,Monster Manual,,,,,,
marilith,16,fiend (demon),Large,18,189,,,,,,,chaotic evil,,Monster Manual (SRD),18,20,20,18,16,20
martial-arts-adept,3,humanoid,Medium,16,60,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
marut,25,construct,Large,22,432,fly,,,,,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
master-of-souls,4,humanoid,Medium,12,45,,,,,,,neutral evil,,Adventures (Descent into Avernus),,,,,,
master-thief,5,humanoid,Medium,16,84,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
mastiff,1/8,beast,Medium,12,5,,,,,,,unaligned,,Monster Manual (SRD),13,14,12,3,12,7
maurezhi,7,fiend (demon),Medium,15,88,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
maw-demon,1,fiend (demon),Medium,13,33,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
meazel,1,humanoid,Medium,13,35,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
medusa,6,monstrosity,Medium,15,127,,,,,,,lawful evil,,Monster Manual (SRD),10,15,16,12,13,15
meenlock,2,fey,Small,15,31,,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
merfolk,1/8,humanoid,Medium,11,11,swim,,,,,,neutral,,Monster Manual (SRD),10,13,12,11,11,12
merregon,4,fiend (devil),Medium,16,45,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
merrenoloth,3,fiend (yugoloth),Medium,13,40,swim,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
merrow,2,monstrosity,Large,13,45,swim,,,,,,chaotic evil,,Monster Manual (SRD),18,10,15,8,10,9
mezzoloth,5,fiend (yugoloth),Medium,18,75,,,,,,,neutral evil,,Monster Manual (BR),18,11,16,7,10,11
mimic,2,monstrosity ,Medium,12,58,,,,,,,neutral,,Monster Manual (SRD),17,12,15,5,13,8
mind-flayer,7,aberration,Medium,15,71,,,,,,,lawful evil,,Monster Manual,,,,,,
mindwitness,5,aberration,Large,15,75,fly,,,,,,lawful evil,,Volo's Guide to Monsters,10,14,14,15,15,10
minotaur,3,monstrosity,Large,14,76,,,,,,,chaotic evil,,Monster Manual (SRD),18,11,16,6,16,9
minotaur-skeleton,2,undead,Large,12,67,,,,,,,lawful evil,,Monster Manual (SRD),18,11,15,6,8,5
moloch,21,fiend (devil),Large,19,253,,,,,,,lawful evil,Legendary,Mordenkainen's Tome of Foes,26,19,22,21,18,23
molydeus,21,fiend (demon),Huge,19,216,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
monodrone,1/8,construct,Medium,15,5,fly,,,,,,lawful neutral,,Monster Manual,,,,,,
morkoth,11,aberration,Medium,17,130,swim,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
mouth-of-grolantor,6,giant,Huge,14,105,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
mud-mephit,1/4,elemental,Small,11,27,"fly, swim",,,,,,neutral evil,,Monster Manual (SRD),8,12,12,9,11,7
mule,1/8,beast,Medium,10,11,,,,,,,unaligned,,Monster Manual (SRD),14,10,13,2,10,5
mummified-warrior,1/4,undead,Medium,8,19,,,,,,,neutral,,Extra (AideDD),13,6,14,8,6,8
mummy,3,undead,Medium,11,58,,,,,,,lawful evil,,Monster Manual (SRD),16,8,15,6,10,12
mummy-lord,15,undead,Medium,17,97,,,,,,,lawful evil,Legendary,Monster Manual (SRD),18,10,17,11,18,16
myconid-adult,1/2,plant,Medium,12,22,,,,,,,lawful neutral,,Monster Manual,,,,,,
myconid-sovereign,2,plant,Large,13,60,,,,,,,lawful neutral,,Monster Manual,,,,,,
myconid-sprout,0,plant,Small,10,7,,,,,,,lawful neutral,,Monster Manual,,,,,,
nabassu,15,fiend (demon),Medium,18,190,fly,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
nagpa,17,humanoid,Medium,19,187,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
nalfeshnee,13,fiend (demon),Large,18,184,fly,,,,,,chaotic evil,,Monster Manual (SRD),21,10,22,19,12,15
narzugon,13,fiend (devil),Medium,20,112,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,20,10,17,16,14,19
necromancer,9,humanoid,Medium,12,66,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
necromite-of-myrkul,1/2,humanoid,Medium,11,13,,,,,,,neutral evil,,Adventures (Descent into Avernus),,,,,,
needle-blight,1/4,plant,Medium,12,11,,,,,,,neutral evil,,Monster Manual,,,,,,
neogi,3,aberration,Small,15,33,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
neogi-hatchling,1/8,aberration,Tiny,11,7,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
neogi-master,4,aberration,Medium,15,71,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
neothelid,13,aberration,Gargantuan,16,325,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
night-blade,1/4,humanoid,Medium,12,11,,,,,,,chaotic evil,,Adventures (Descent into Avernus),,,,,,
night-hag,5,fiend,Medium,17,112,,,,,,,neutral evil,,Monster Manual (SRD),18,15,16,16,14,16
nightmare,3,fiend,Large,13,68,fly,,,,,,neutral evil,,Monster Manual (SRD),18,15,16,10,13,15
nightwalker,20,undead,Huge,14,297,fly,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
nilbog,1,humanoid,Small,13,7,,,,,,,chaotic evil,,Volo's Guide to Monsters,8,14,10,10,8,15
noble,1/8,humanoid,Medium,15,9,,,,,,,any alignment,,Monster Manual (SRD),11,12,11,12,14,16
nothic,2,aberration,Medium,15,45,,,,,,,neutral evil,,Monster Manual,14,16,16,13,10,8
nupperibo,1/2,fiend (devil),Medium,13,11,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
nycaloth,9,fiend (yugoloth),Large,18,123,fly,,,,,,neutral evil,,Monster Manual (BR),20,11,19,12,10,15
oblex-spawn,1/4,ooze,Tiny,13,18,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
ochre-jelly,2,ooze,Large,8,45,,,,,,,unaligned,,Monster Manual (SRD),15,6,14,2,6,1
octopus,0,beast,Small,12,3,swim,,,,,,unaligned,,Monster Manual (SRD),4,15,11,3,10,4
ogre,2,giant,Large,11,59,,,,,,,chaotic evil,,Monster Manual (SRD),19,8,16,5,7,7
