,Unnamed: 0,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,name_missing,isNamedCreature_missing,isNpc_missing,ac_missing,hp/average_missing,hp/formula_missing,alignment_missing,type_missing,swarm_missing,size_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,initiative/advantageMode_missing,passive_missing,senseTags_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,conditionInflict_missing,damageTags_missing,savingThrowForced_missing,legendaryActions_missing,legendary_missing,vulnerable_missing,languages_missing,languageTags_missing,environment_missing,miscTags_missing,source_missing,summonedBySpell_missing,summonedBySpellLevel_missing,variant_missing,reprinted_missing,sidekickHidden_missing
939,939,Duergar Darkhaft,0,1,8,16,26,4d8 + 4,L E,humanoid,dwarf,,M,14,11,14,11,10,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,SD,25,,-1,,-1,,-1,,-1,True,"[""Sunlight Sensitivity""]",Int,,"I,P","[""unconscious""]",,True,,False,False,"[""invisible""]",P,,-1,0,,,,False,"[""poison""]",,,,"[""Dwarvish"",""Undercommon""]","D, U","javelin, war pick",,"MLW,MW, RW, THW",OotA,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
2313,2313,Titanothere,0,0,11,16,136,13d12 + 52,U,beast,,,H,25,10,19,2,12,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,,50,,-1,,-1,,-1,,-1,True,"[""Beast of Burden""]",,,,,,True,,False,False,"[""prone""]",B,"[""strength""]",-1,0,,,,False,,,,,,,,,"MW, RCH",BGG,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1
510,510,Gluttony Seraph,0,0,20,15,218,19d12 + 95,C E,celestial,,,H,21,12,20,13,15,16,8,-1,7,10,-1,-1,-1,-1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,U,30,,-1,,-1,,30,,-1,True,"[""Magic Resistance""]",Cha,,I,,"[""dexterity"",""wisdom""]",True,"[""Multiattack"",""Swallow""]",False,False,"[""blinded"",""grappled"",""restrained""]","A, B, P,R,S","[""constitution""]",-1,0,,,,False,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",,,"MW, RCH",GHLoE,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
762,762,Molydeus,0,0,27,19,216,16d12 + 112,C E,fiend,demon,,H,28,22,25,21,24,24,14,-1,14,14,-1,16,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,31,U,40,,-1,,-1,,-1,,-1,True,"[""Legendary Resistances"",""Magic Resistance""]",Cha,L,O,"[""restrained""]","[""dexterity"",""wisdom""]",True,"[""Multiattack""]",False,False,,"I,N,O","[""constitution""]",-1,0,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""blinded"",""charmed"",""deafened"",""frightened"",""poisoned"",""stunned""]","[""Abyssal"",""telepathy 120 ft.""]","AB,TP",,,"HPR, MW, RCH",MPMM,False,,,-1,,True,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1
1195,1195,Darkling Elder,0,0,8,15,27,5d8 + 5,C N,fey,,,M,13,17,12,10,14,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,7,-1,5,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,0,16,"B, SD",30,,-1,,-1,,-1,,-1,True,,Wis,,,,,True,"[""Multiattack""]",False,False,"[""blinded""]","N,R,S","[""constitution""]",-1,0,,,,False,,,,,"[""Elvish"",""Sylvan""]","E,S",scimitar,"forest, swamp, underdark, urban","AOE, MLW,MW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
209,209,Dream Eater,0,0,13,15,77,14d8 + 14,C E,aberration,,,M,15,20,13,12,16,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,B,0,,-1,,-1,hover,50,,-1,True,"[""Incorporeal Movement"",""Magic Resistance""]",,,,,,True,"[""Multiattack""]",True,False,"[""blinded"",""frightened"",""restrained""]","O,Y","[""charisma"",""wisdom""]",-1,0,,,,False,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""psychic""]","[""blinded"",""charmed"",""frightened"",""grappled"",""paralyzed"",""petrified"",""restrained""]","[""Deep Speech"",""telepathy 120 ft.""]","DS,TP",,,RCH,MCV2DC,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
688,688,Darien,0,0,15,15,161,19d10 + 57,C E,giant,ogre,,L,20,14,16,10,11,18,8,-1,4,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,8,-1,-1,-1,0,10,SD,30,,-1,,-1,,-1,,-1,True,"[""Devil's Sight""]",Cha,"B, C,N,P,S,Y",I,"[""blinded"",""charmed"",""deafened"",""frightened"",""incapacitated"",""invisible"",""paralyzed"",""prone""]","[""constitution"",""dexterity"",""intelligence"",""wisdom""]",True,"[""Multiattack""]",False,True,"[""charmed""]","N,O,P",,-1,0,,,,False,"[""psychic""]",,"[""cold""]",,"[""Aquan"",""Auran"",""Common"",""Elvish"",""Giant"",""telepathy 30 ft.""]","AQ,AU,C,E,GI,TP",war pick,,"MLW,MW",MaBJoV,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
2706,2706,Carrion Stalker,0,0,9,14,35,10d4 + 10,,monstrosity,,,T,6,16,12,2,13,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,T,30,,30,,-1,,-1,,-1,False,,,,,,,True,"[""Multiattack"",""Tentacles""]",False,False,"[""poisoned""]","I,P","[""constitution""]",-1,0,,,,False,,,,"[""blinded""]",,,,,"AOE, DIS, MW",VRGR,False,,,-1,,,,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1
3084,3084,Bag Jelly,0,0,7,8,42,5d8 + 20,U,ooze,,,M,13,6,19,2,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,B,10,,-1,,10,,-1,,-1,True,"[""Amorphous""]",,,,,,True,"[""Multiattack""]",False,False,,A,,-1,0,,,,False,"[""acid"",""bludgeoning""]",,,"[""exhaustion""]",,,,,MW,BGG,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
1795,1795,Zmey,0,0,21,18,189,18d12 + 72,C E,dragon,,,H,22,13,19,16,16,12,6,-1,8,9,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,18,"B, D",30,,-1,,-1,,50,,30,True,"[""Amphibious"",""Legendary Resistances"",""Regeneration""]",,,,,,True,"[""Breath Weapon"",""Multiattack""]",False,False,"[""prone""]","F,P,S","[""dexterity"",""wisdom""]",-1,0,,,,False,"[""cold"",""fire""]",,,"[""paralyzed"",""unconscious""]","[""Common"",""Draconic"",""Elvish"",""Sylvan""]","C,DR,E,S",,"forest, swamp","AOE, MLW,MW, RCH",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
2620,2620,Galvan Magen,0,1,9,14,68,8d8 + 32,U,construct,,,M,10,18,18,12,10,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,,30,,-1,,-1,hover,30,,-1,True,"[""Magic Resistance"",""Unusual Nature""]",,,,,,True,"[""Multiattack""]",False,False,,L,"[""dexterity""]",-1,0,,,,False,,,"[""lightning"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""poisoned""]","[""understands the languages of its creator but can't speak""]",CS,,,AOE,IDRotF,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
799,799,Brahma Lutier,0,0,8,12,33,6d8 + 6,N,humanoid,Elf,,M,12,15,12,11,13,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,0,13,,30,,-1,,-1,,-1,,-1,True,"[""Fey Ancestry""]",Cha,"S,Y",CB,"[""charmed"",""invisible"",""unconscious""]","[""wisdom""]",True,,False,False,"[""charmed""]",S,"[""charisma"",""wisdom""]",-1,0,,,,False,,,,,"[""Common"",""Elvish""]",C E,,,MW,AI,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
1079,1079,Lich,0,0,27,17,135,18d8 + 54,L NX C E,undead,,,M,11,16,16,20,14,16,-1,12,9,10,-1,-1,19,12,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,19,U,30,,-1,,-1,,-1,,-1,True,"[""Legendary Resistances"",""Rejuvenation"",""Turn Resistance""]",Int,"A, C,F,I,N,O,T",CW,"[""charmed"",""invisible"",""stunned""]","[""charisma"",""constitution"",""dexterity"",""wisdom""]",True,,False,False,"[""frightened"",""paralyzed""]",C N,"[""constitution"",""wisdom""]",-1,0,N,"[""constitution""]",,False,"[""cold"",""lightning"",""necrotic""]",,"[""poison"",{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks""}]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""poisoned""]","[""Common plus up to five other languages""]","C,X",,,,MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1
1074,1074,Hobgoblin Iron Shadow,0,0,8,15,32,5d8 + 10,L E,humanoid,goblinoid,,M,14,16,15,14,15,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,5,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,0,12,D,40,,-1,,-1,,-1,,-1,True,,Int,,CW,,"[""wisdom""]",True,"[""Multiattack""]",False,False,,"B, P",,-1,0,,,,False,,,,,"[""Common"",""Goblin""]","C,GO",dart,"grassland, forest, hill","MW, RW, THW",VGM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
421,421,Transmuter Wizard,0,0,11,15,49,11d8,A,humanoid,,,M,9,14,11,17,12,11,-1,6,4,-1,-1,-1,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,,30,,-1,,-1,,-1,,-1,True,,Int,F,O,"[""restrained""]","[""dexterity"",""wisdom""]",True,"[""Multiattack""]",True,False,,A,,-1,0,,,,False,,,,,"[""any four languages""]",X,,urban,,MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1
129,129,Arx,0,0,15,17,171,18d10 + 72,L E,fiend,,,L,20,8,19,11,15,8,-1,-1,-1,-1,-1,9,-1,-1,-1,6,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,0,16,D,30,,-1,,-1,,20,,-1,True,"[""Immutable Form"",""Magic Resistance""]",,,,,,True,"[""Multiattack""]",True,False,,"B, P,S","[""dexterity""]",-1,0,,,,False,"[""cold"",""fire"",""lightning"",""poison""]",,,,"[""Abyssal"",""Infernal"",""telepathy 60 ft.""]","AB,I,TP",spear,planar,"AOE, MLW,MW, RW, THW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
1758,1758,Goristro,0,0,23,19,310,23d12 + 161,C E,fiend,demon,,H,25,11,25,6,13,14,-1,-1,7,13,6,13,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,SD,40,,-1,,-1,,-1,,-1,True,"[""Charge"",""Magic Resistance"",""Siege Monster""]",,,,,,True,"[""Multiattack""]",False,False,"[""prone""]","B, P","[""strength""]",-1,0,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""poisoned""]","[""Abyssal""]",AB,,,"MW, RCH",MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1
2856,2856,Behtu,0,0,8,14,52,8d6 + 24,C E,humanoid,,,S,17,16,16,12,11,7,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,0,10,D,20,,-1,,20,,-1,,-1,False,,,,,,,True,"[""Breath Weapon"",""Multiattack""]",False,False,"[""poisoned""]","F,I,P","[""constitution"",""dexterity""]",-1,0,,,,False,"[""cold"",""fire"",""lightning""]",,,,"[""Behtu"",""Common"",""Infernal""]","C,I",spear,forest,"AOE, MLW,MW, RW, THW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
35,35,Baalzebul,0,0,32,19,540,40d12 + 280,L E,fiend,devil,,H,28,15,25,24,24,26,16,15,-1,15,-1,17,-1,-1,15,-1,-1,-1,-1,-1,-1,17,24,16,-1,-1,16,-1,-1,-1,0,17,"SD, T",20,,20,,20,,-1,,-1,True,"[""Devil's Sight"",""Legendary Resistances"",""Magic Resistance"",""Regeneration""]",Cha,N,O,"[""frightened"",""incapacitated"",""paralyzed"",""stunned"",""unconscious""]","[""charisma"",""constitution"",""intelligence"",""wisdom""]",True,"[""Multiattack""]",True,False,,"A, B, N,P","[""charisma"",""constitution""]",-1,0,,,,False,"[""acid"",""cold"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",,,"AOE, MW, RCH",MaBJoV,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
2447,2447,Feral Ashenwight,0,1,11,16,65,10d8 + 20,N E,undead,,,M,19,13,15,4,14,6,-1,-1,-1,5,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12,SD,25,,-1,,-1,,-1,,-1,False,,,,,,,True,"[""Multiattack""]",False,False,,N,,-1,0,,,,False,"[""necrotic"",""poison""]",,,"[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""poisoned"",""unconscious""]","[""understands the languages it knew in life but can't speak""]","CS,LF",,,"MW, RW",PaBTSO,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
895,895,Topaz Dragon Wyrmling,0,0,8,16,33,6d8 + 6,C N,dragon,gem,,M,15,12,13,14,13,14,4,-1,3,3,3,-1,-1,-1,-1,5,-1,3,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,0,15,"B, SD",30,,-1,,-1,,60,,30,True,"[""Amphibious""]",Int,,P,,"[""charisma""]",True,"[""Breath Weapon""]",False,False,,"N,P","[""constitution""]",-1,0,,,,False,"[""cold"",""necrotic""]",,,,"[""Draconic""]",DR,,,"AOE, MW",FTD,False,"[""Gem Dragon""]",,-1,,True,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1
339,339,Nkosi,0,0,5,15,27,5d8 + 5,L N,humanoid,"nkosi, shapechanger",,M,16,16,12,10,10,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,10,D,30,,-1,,-1,,-1,,-1,True,"[""Keen Senses"",""Pounce""]",,,,,,True,shapechanger,True,False,"[""prone""]",P,"[""strength""]",-1,0,,,,False,,,,,"[""Common (can't speak in lion form)""]","C,CS",,"forest, grassland","MW, RW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
119,119,Alyxian Aboleth,0,1,18,17,135,18d10 + 36,L E,aberration,,,L,21,9,15,18,18,18,-1,8,8,6,-1,-1,-1,12,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,22,SD,10,,-1,,-1,,-1,,30,True,"[""Amphibious""]",,,,,,True,"[""Multiattack"",""Tentacles""]",True,False,"[""charmed"",""restrained""]","B, Y","[""strength"",""wisdom""]",-1,0,,,,False,,,,,"[""Deep Speech"",""telepathy 120 ft.""]","DS,TP",,,"MW, RCH",CRCotN,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
2566,2566,Groff,0,0,10,13,68,8d10 + 24,U,plant,,,L,20,10,17,4,13,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,D,30,,-1,,-1,,-1,,30,True,"[""False Appearance"",""Hold Breath""]",,,,,,True,"[""Multiattack""]",False,False,,"I,P,S","[""strength""]",-1,0,,,,False,,,,,,,,,MW,SCC,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1
1332,1332,Morbus Kobold,0,0,3,12,9,2d6 + 2,L E,humanoid,kobold,,S,6,14,13,10,9,8,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,9,D,30,,-1,,-1,,-1,,30,True,"[""Pack Tactics"",""Sunlight Sensitivity""]",,,,,,True,,False,False,,"B, P",,-1,0,,,,False,"[""poison""]",,,,"[""Draconic and one other language""]","DR,X","dagger, sling",,"AOE, DIS, MLW,MW, RW, THW",GHLoE,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
2279,2279,Black Rose Bearer,0,1,12,11,110,13d8 + 52,N E,undead,,,M,17,6,18,2,10,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,D,20,,-1,,-1,,-1,,-1,True,"[""Undead Fortitude""]",,,,,,True,"[""Multiattack""]",False,False,,"B, N",,-1,0,,,,False,,,"[""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""understands the languages it knew in life but can't speak""]","CS,LF",,,MW,VEoR,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
1763,1763,Ghost Dragon,0,0,23,10,324,24d12 + 168,A,undead,,,H,20,10,25,16,15,19,10,-1,8,13,-1,-1,-1,-1,-1,14,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,24,"B, SD",40,,-1,,-1,hover,80,,-1,True,"[""Incorporeal Movement"",""Legendary Resistances"",""Unusual Nature""]",,,,,,True,"[""Breath Weapon"",""Multiattack""]",False,False,"[""frightened"",""paralyzed""]","C,N,O","[""constitution""]",-1,0,,,,False,"[""bludgeoning"",""piercing"",""slashing""]",,"[""acid"",""cold"",""necrotic"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""grappled"",""paralyzed"",""petrified"",""poisoned"",""prone"",""restrained""]","[""Common"",""Draconic"",""telepathy 120 ft.""]","C,DR,TP",,,"AOE, MW, RCH",FTD,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
2783,2783,Giant Elk,0,0,8,14,42,5d12 + 10,U,beast,,,H,19,16,14,7,14,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,,60,,-1,,-1,,-1,,-1,True,"[""Charge""]",,,,,,True,,False,False,"[""prone""]",B,"[""strength""]",-1,0,,,,False,,,,,"[""Giant Elk"",""understands Common, Elvish, Sylvan but can't speak them""]","C,CS,E,OTH,S",,"mountain, grassland, forest, hill","MW, RCH",MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1
