name,_copy/name,_copy/_mod/*/flags,_copy/_mod/_/mode,_copy/_mod/_/spells/7,_copy/_mod/action,_copy/_mod/action/items/entries,_copy/_mod/action/items/name,_copy/_mod/action/mode,_copy/_mod/action/replace,_copy/_mod/trait/items,_copy/_mod/trait/mode,_copy/_templates,_copy/source,_copy/_mod/action/names,_copy/_mod/resist/items,_copy/_mod/spellcasting/items/name,_copy/_mod/spellcasting/items/spells/1/slots,_copy/_mod/spellcasting/items/spells/1/spells,_copy/_mod/spellcasting/items/spells/2/slots,_copy/_mod/spellcasting/items/spells/2/spells,_copy/_mod/spellcasting/items/spells/3/slots,_copy/_mod/spellcasting/items/spells/3/spells,_copy/_mod/spellcasting/items/spells/4/slots,_copy/_mod/spellcasting/items/spells/4/spells,_copy/_mod/spellcasting/items/spells/5/slots,_copy/_mod/spellcasting/items/spells/5/spells,_copy/_mod/spellcasting/items/spells/6/slots,_copy/_mod/spellcasting/items/spells/6/spells,_copy/_mod/spellcasting/mode,_copy/_mod/resist/mode,_copy/_mod/trait/replace,_copy/_mod/*,_copy/_mod/trait/names,_copy/_mod/action/items,_copy/_mod/trait,level,type/sidekickTags,type/sidekickType,_copy/_mod/conditionImmune/items,_copy/_mod/conditionImmune/mode,_copy/_mod/_/spells/0/spells,_copy/_mod/_/spells/5/spells,_copy/_mod/spellcasting/items/footerEntries,_copy/_mod/spellcasting/items/headerEntries,_copy/_mod/_/spells/3,_copy/_mod/_/daily/1e,_copy/_mod/_/daily/3e,_copy/_mod/_/will,_copy/_mod/_/spells/4,_copy/_mod/_/spells/5,_copy/_mod/trait/items/type,_copy/_preserve/legendaryGroup,_copy/_preserve/hasFluff,_copy/_preserve/hasFluffImages,_copy/_preserve/page,_copy/_preserve/variant,_copy/_mod/spellcasting/items/ability,_copy/_mod/spellcasting/items/will,_copy/_preserve/environment,_copy/_mod/_/spells/2,_copy/_mod/spellcasting/items/spells/0/spells,_copy/_mod/reaction/items/entries,_copy/_mod/reaction/items/name,_copy/_mod/reaction/mode,_copy/_mod/trait/items/page,_copy/_mod/trait/items/source,_copy/_mod/variant,_copy/_mod/languages,_copy/_mod/languages/items,_copy/_mod/languages/mode,_copy/_mod/spellcasting,_copy/_mod/spellcasting/items,_copy,shortName,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reactionHeader,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,legendaryHeader,mythic,mythicHeader,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Valetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,2,13,27,5d8 + 5,N,humanoid,dragonborn,,M,10,10,12,13,16,13,,,,,,,,,,,,,,,,,,,7,,3,5,,,,13,,25,,,,,,,,,,,"[{""entries"":[""As a bonus action, Valetta can expend a spell slot to cause her melee weapon attacks to magically deal an extra 10 ({@damage 3d6}) radiant damage to a target on a hit. This benefit lasts until the end of the turn. If Valetta expends a spell slot of 2nd level or higher, the extra damage increases by {@damage 1d6} for each level above 1st.""],""name"":""Divine Eminence""}]",,"[{""ability"":""wis"",""headerEntries"":[""Valetta is a 5th-level spellcaster. Her spellcasting ability is Wisdom. Valetta has the following cleric spells prepared:""],""name"":""Spellcasting"",""spells"":{""0"":{""spells"":[""{@spell light}"",""{@spell sacred flame}"",""{@spell thaumaturgy}""]},""1"":{""slots"":4,""spells"":[""{@spell cure wounds}"",""{@spell guiding bolt}"",""{@spell sanctuary}""]},""2"":{""slots"":3,""spells"":[""{@spell lesser restoration}"",""{@spell spiritual weapon}""]},""3"":{""slots"":2,""spells"":[""{@spell dispel magic}"",""{@spell spirit guardians}""]}},""type"":""spellcasting""}]","N,O,R",CC,,"[""dexterity"",""wisdom""]","[{""entries"":[""Valetta can use her action to exhale a 5-foot-wide, 30-foot line of lightning (but can't do this again until she finishes a short or long rest); each creature in the line must make a {@dc 11} Dexterity saving throw, taking {@damage 2d6} lightning damage on a failed save, or half as much damage on a successful one.""],""name"":""Breathe Weapon""},{""entries"":[""{@atk mw} {@hit 2} to hit, reach 5 ft., one target. {@h}3 ({@damage 1d6}) bludgeoning damage.""],""name"":""Mace""}]",,,,,,"B, R","[""dexterity""]",,,,,,,,,"[""lightning""]",,,,"[""Common"",""Draconic""]","C,DR",mace,,"AOE, MLW,MW",WDH,FALSE,,,,,,,
Valenar Steed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,2-Jan,13,22,3d10 + 6,N,fey,,,L,14,16,14,10,15,11,,,,,,,,,,4,,,,,,,,,,,,,,,,14,,60,,,,,,,,,,,"[{""entries"":[""The steed can magically bond with one creature it can see, immediately after spending at least 1 hour observing that creature while within 30 feet of it. The bond lasts until the steed bonds with a different creature or until the bonded creature dies. While bonded, the steed and the bonded creature can communicate telepathically with each other at a distance of up to 100 feet.""],""name"":""Bonding""}]",,,,,,,"[{""entries"":[""{@atk mw} {@hit 5} to hit, reach 5 ft., one target. {@h}10 ({@damage 2d6 + 3}) bludgeoning damage.""],""name"":""Hooves""}]",,,,,,B,,,,,,,,,,,,,,"[""understands Common"",""Elvish"",""and Sylvan but can't speak""]","C,CS,E,S",,,MW,ERLW,FALSE,,,,,,,
Valenar Hound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,2-Jan,14,19,3d8 + 6,N,fey,,,M,17,15,14,10,15,11,,,,,,,,,,4,,,,,,,,,,,,,,,,14,,40,,,,,,,,,,,"[{""entries"":[""The hound can magically bond with one creature it can see, immediately after spending at least 1 hour observing that creature while within 30 feet of it. The bond lasts until the hound bonds with a different creature or until the bonded creature dies. While bonded, the hound and the bonded creature can communicate telepathically with each other at a distance of up to 100 feet.""],""name"":""Bonding""},{""entries"":[""The hound has advantage on Wisdom ({@skill Perception}) checks that rely on hearing or smell.""],""name"":""Keen Hearing and Smell""}]","[""Keen Senses""]",,,,,,"[{""entries"":[""{@atk mw} {@hit 5} to hit, reach 5 ft., one target. {@h}6 ({@damage 1d6 + 3}) piercing damage. If the target is a creature, it must succeed on a {@dc 13} Strength saving throw or be knocked {@condition prone}.""],""name"":""Bite""}]",,,,,"[""prone""]",P,"[""strength""]",,,,,,,,,,,,,"[""understands Common"",""Elvish"",""and Sylvan but can't speak""]","C,CS,E,S",,,MW,ERLW,FALSE,,,,,,,
Valenar Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,8-Jan,14,10,4d4,N,fey,,,T,8,18,10,9,16,11,,,,,,,,,,5,,,,,,,,,,,,,,,,15,,10,,,,,,60,,,,,"[{""entries"":[""The hawk can magically bond with one creature it can see, immediately after spending at least 1 hour observing that creature while within 30 feet of it. The bond lasts until the hawk bonds with a different creature or until the bonded creature dies. While bonded, the hawk and the bonded creature can communicate telepathically with each other at a distance of up to 100 feet.""],""name"":""Bonding""},{""entries"":[""The hawk has advantage on Wisdom ({@skill Perception}) checks that rely on sight.""],""name"":""Keen Sight""}]","[""Keen Senses""]",,,,,,"[{""entries"":[""{@atk mw} {@hit 6} to hit, reach 5 ft., one target. {@h}6 ({@damage 1d4 + 4}) slashing damage.""],""name"":""Talons""}]",,,,,,S,,,,,,,,,,,,,,"[""understands Common"",""Elvish"",""and Sylvan but can't speak""]","C,CS,E,S",,,MW,ERLW,FALSE,,,,,,,
Vajra Safahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,13,17,126,23d8 + 23,L N,humanoid,Human,,M,10,14,12,20,11,16,5,12,7,3,4,2,10,10,,,,,,,,,,,,,,,,,,10,,30,,,,,,,,,,,"[{""entries"":[""Vajra wields the {@item Blackstaff|wdh}, accounted for in her statistics. Roll {@dice 2d10} to determine how many charges the staff has remaining.""],""name"":""Special Equipment""},{""entries"":[""Vajra has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""},{""entries"":[""While holding the blackstaff, Vajra can use an action to expend 1 or more of its charges to cast one of the following spells from it, using her spell save DC and spell attack bonus: {@spell cone of cold} (5 charges), {@spell fireball} (5th-level version, 5 charges), {@spell globe of invulnerability} (6 charges), {@spell hold monster} (5 charges), {@spell levitate} (2 charges), {@spell lightning bolt} (5th-level version, 5 charges), {@spell magic missile} (1 charge), {@spell ray of enfeeblement} (1 charge), or {@spell wall of force} (5 charges).""],""name"":""Staff Spells""}]","[""Magic Resistance""]","[{""ability"":""int"",""headerEntries"":[""Vajra is an 18th-level spellcaster. Her spellcasting ability is Intelligence (spell save {@dc 18}, {@hit 12} to hit with spell attacks). She has the following wizard spells prepared:""],""name"":""Spellcasting"",""spells"":{""0"":{""spells"":[""{@spell fire bolt}"",""{@spell light}"",""{@spell mage hand}"",""{@spell message}"",""{@spell prestidigitation}""]},""1"":{""slots"":4,""spells"":[""{@spell detect magic}"",""{@spell identify}"",""{@spell mage armor}"",""{@spell thunderwave}""]},""2"":{""slots"":3,""spells"":[""{@spell invisibility}"",""{@spell misty step}"",""{@spell web}""]},""3"":{""slots"":3,""spells"":[""{@spell counterspell}"",""{@spell fly}"",""{@spell sending}""]},""4"":{""slots"":3,""spells"":[""{@spell banishment}"",""{@spell fire shield}"",""{@spell stoneskin}""]},""5"":{""slots"":3,""spells"":[""{@spell Bigby's hand}"",""{@spell geas}"",""{@spell telekinesis}""]},""6"":{""slots"":1,""spells"":[""{@spell chain lightning}"",""{@spell globe of invulnerability}""]},""7"":{""slots"":1,""spells"":[""{@spell forcecage}"",""{@spell prismatic spray}""]},""8"":{""slots"":1,""spells"":[""{@spell antimagic field}"",""{@spell power word stun}""]},""9"":{""slots"":1,""spells"":[""{@spell imprisonment}""]}},""type"":""spellcasting""}]","A, B, C, F, I, L, O, T, Y",CW,,"[""charisma"",""constitution"",""dexterity"",""wisdom""]","[{""entries"":[""{@atk mw} {@hit 7} to hit, reach 5 ft., one target. {@h}5 ({@damage 1d6 + 2}) bludgeoning, magic damage, or 6 ({@damage 1d8 + 2}) bludgeoning, magic damage when used with two hands. Vajra can expend 1 of the staff's charges to deal an extra 3 ({@damage 1d6}) force damage on a hit.""],""name"":""Blackstaff""}]",,,,,,O,,,,,,,,,,,,,,"[""Common"",""Dwarvish"",""Elvish"",""Giant"",""Halfling"",""Undercommon""]","C,D,E,GI,H,U",,,MW,WDH,FALSE,,,,,,,
Vættir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,4,15,97,13d8 + 39,L E,undead,,,M,20,14,16,10,12,14,,,3,,4,,,,,,,,,,,,,,,,,,,,,11,"D, U",30,,,,,,,,,,,"[{""entries"":[""The vættir can pinpoint the location of creatures wearing or carrying one of the vættir's personal items or grave goods within 60 feet of it, and the vættir can sense the general direction of its personal items and grave goods within 1 mile of it.""],""name"":""Grave Goods Sense""},{""entries"":[""A destroyed vættir gains a new body in 24 hours, regaining all its hp and becoming active again. The new body forms in a random unoccupied space within 100 feet of where it fell. This trait doesn't function if the vættir is put to rest (typically by returning its remains to its burial mound).""],""name"":""Rejuvenation""},{""entries"":[""While in sunlight, the vættir has disadvantage on attack rolls, as well as on Wisdom ({@skill Perception}) checks that rely on sight.""],""name"":""Sunlight Sensitivity""},{""entries"":[""The vættir doesn't require air, food, drink, or sleep.""],""name"":""Undead Nature""}]","[""Rejuvenation"",""Sunlight Sensitivity""]",,,,,,"[{""entries"":[""The vættir can use its Disorienting Gaze. It then makes two Vættir's Greataxe or Necrotic Bolt attacks.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 7} to hit, reach 5 ft., one target. {@h}11 ({@damage 1d12 + 5}) slashing damage plus 4 ({@damage 1d8}) necrotic damage.""],""name"":""Vættir's Greataxe""},{""entries"":[""{@atk rs} {@hit 4} to hit, range 120 ft., one target. {@h}15 ({@damage 3d8 + 2}) necrotic damage.""],""name"":""Necrotic Bolt""},{""entries"":[""The vættir locks eyes with one creature it can see within 30 feet of it. The target must succeed on a {@dc 15} Charisma saving throw or be {@condition incapacitated} for 1 minute. While {@condition incapacitated}, the creature moves in a random direction when it moves. An {@condition incapacitated} creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the vættir's Disorienting Gaze for the next 24 hours.""],""name"":""Disorienting Gaze""},{""entries"":[""The vættir spews forth a 15‑foot cone of putrid gas. Each creature in the area must make a {@dc 15} Constitution saving throw. On a failure, a creature takes 21 ({@damage 6d6}) poison damage and is {@condition poisoned} for 1 minute. On a success, a creature takes half the damage and isn't {@condition poisoned}. A {@condition poisoned} creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""],""name"":""Corpse Breath {@recharge 5}""}]","[""Breath Weapon"",""Multiattack""]",,,,"[""incapacitated"",""poisoned""]","I,N,S","[""charisma"",""constitution""]",,,,,,,,,,,"[""necrotic"",""poison""]","[""charmed"",""frightened"",""poisoned""]","[""the languages it knew in life""]",LF,,any,"MLW,MW",ToB1-2023,FALSE,,,,,,,
Uthgardt Shaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,2,13,38,7d8 + 7,A,humanoid,Human,,M,14,12,13,10,15,12,,,,,,,,,,4,,,,,,,,,4,4,,,,6,,14,,30,,,,,,,,,,,,,"[{""ability"":""wis"",""daily"":{""1e"":[""{@spell augury} (cast as 1 action)"",""{@spell bestow curse}"",""{@spell cordon of arrows}"",""{@spell detect magic}"",""{@spell speak with dead}"",""{@spell spirit guardians}""]},""displayAs"":""action"",""headerEntries"":[""The shaman casts one of the following spells, using Wisdom as the spellcasting ability (spell save {@dc 12}; {@hit 4} to hit with spell attacks):""],""name"":""Spellcasting (Requires a Sacred Bundle)"",""type"":""spellcasting"",""will"":[""{@spell dancing lights}"",""{@spell mage hand}"",""{@spell message}"",""{@spell thaumaturgy}""]}]","N,P,R",O,,"[""dexterity"",""wisdom""]","[{""entries"":[""{@atk mw,rw} {@hit 4} to hit, reach 5 ft. or range 20/60 ft., one target. {@h}5 ({@damage 1d6 + 2}) piercing damage, or 6 ({@damage 1d8 + 2}) piercing damage if wielded with two hands.""],""name"":""Spear""},{""entries"":[""{@atk rw} {@hit 3} to hit, range 80/320 ft., one target. {@h}4 ({@damage 1d6 + 1}) piercing damage.""],""name"":""Shortbow""}]",,,,,,P,,,,,,,,,,,,,,"[""Bothii"",""Common""]","C,OTH","shortbow, spear",,"MLW,MW, RNG, RW, THW",SKT,FALSE,,,,,,,
Ushabti Royal Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,14,19,168,16d10 + 80,U,construct,,,L,22,16,20,11,19,9,4,,9,,,,5,5,,9,,,,,,,,,,,,,,,,19,D,30,,,,,,,,,,,"[{""entries"":[""The ushabti doesn't require air, food, drink, or sleep.""],""name"":""Construct Nature""},{""entries"":[""While the ushabti is motionless, it is indistinguishable from a normal funerary statue.""],""name"":""False Appearance""},{""entries"":[""If a creature within 30 feet of the ushabti regains hp from a spell or magical effect, the creature regains only half the amount and the ushabti regains the other half.""],""name"":""Healing Leech""},{""entries"":[""The ushabti is immune to any spell or effect that would alter its form.""],""name"":""Immutable Form""},{""entries"":[""If the ushabti fails a saving throw, it can choose to succeed instead.""],""name"":""Legendary Resistance (3/Day)""},{""entries"":[""The ushabti has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""},{""entries"":[""The ushabti's weapon attacks are magical. When the ushabti hits with any weapon, the weapon deals an extra ({@damage 2d8}) necrotic damage (included in the attack).""],""name"":""Necrotic Weapons""}]","[""False Appearance"",""Immutable Form"",""Legendary Resistances"",""Magic Resistance""]",,,,,,"[{""entries"":[""The ushabti can use its Breath-Stealing Presence. It then makes two Khopesh attacks and one Medjai's Scepter attack.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 11} to hit, reach 5 ft., one target. {@h}13 ({@damage 2d6 + 6}) slashing damage plus 9 ({@damage 2d8}) necrotic damage.""],""name"":""Khopesh""},{""entries"":[""{@atk mw} {@hit 11} to hit, reach 5 ft., one target. {@h}15 ({@damage 2d8 + 6}) bludgeoning damage plus 9 ({@damage 2d8}) necrotic damage.""],""name"":""Medjai's Scepter""},{""entries"":[""Each creature of the ushabti's choice within 30 feet of the ushabti and aware of it must succeed on a {@dc 18} Constitution saving throw or take 9 ({@damage 2d8}) necrotic damage and be unable to speak or breathe for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the ushabti's Breath‑Stealing Presence for the next 24 hours.""],""name"":""Breath-Stealing Presence""},{""entries"":[""The ushabti emits waves of necrotic energy. Each creature within 30 feet of the ushabti must make a {@dc 18} Constitution saving throw, taking 49 ({@damage 11d8}) necrotic damage on a failed save, or half as much damage on a successful one. A creature that can't breathe because of the ushabti's Breath‑Stealing Presence has disadvantage on the saving throw. If the saving throw fails by 5 or more, the creature also suffers one level of {@condition exhaustion}. A Humanoid slain by this effect rises {@dice 1d4} hours later as a mummy under the ushabti's control, unless the Humanoid is restored to life or its body is destroyed. The ushabti can have no more than five mummies under its control at one time.""],""name"":""Enervating Surge {@recharge 5}""}]","[""Breath Weapon"",""Multiattack""]",,,"[{""entries"":[""When a creature more than 5 feet away from the ushabti moves to a space within 5 feet of the ushabti, the ushabti can make one Khopesh attack against it.""],""name"":""Sudden Strike""}]","[""exhaustion"",""restrained""]","B, N,S","[""constitution"",""strength""]",,"[{""entries"":[""The ushabti moves up to its speed without provoking opportunity attacks.""],""name"":""Move""},{""entries"":[""The ushabti makes one Medjai's Scepter attack.""],""name"":""Medjai's Scepter (Costs 2 Actions)""},{""entries"":[""Up to two creatures the ushabti can see within 60 feet of it must succeed on a {@dc 18} Strength saving throw or the ushabti moves the creature up to 30 feet in any direction (including upward). A moved target is then {@condition restrained} until the start of the ushabti's next turn.""],""name"":""Telekinesis (Costs 2 Actions)""}]",,,,,,,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison"",""psychic""]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""understands the languages of its creator but can't speak""]",CS,,"desert, underdark, urban","AOE, MW",ToB1-2023,FALSE,,,,,,,
Ushabti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,8,17,119,14d8 + 56,U,construct,,,M,14,20,18,6,11,6,1,,3,,,,,,,,,,,,,,,,,,,,,,,10,D,40,,,,,,,,,,,"[{""entries"":[""The ushabti doesn't require air, food, drink, or sleep.""],""name"":""Construct Nature""},{""entries"":[""While the ushabti is motionless, it is indistinguishable from a normal funerary statue.""],""name"":""False Appearance""},{""entries"":[""The ushabti is immune to spells and effects that would alter its form.""],""name"":""Immutable Form""},{""entries"":[""The ushabti has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""},{""entries"":[""The ushabti's weapon attacks are magical. When the ushabti hits with any weapon, the weapon deals an extra ({@damage 3d8}) necrotic damage (included in the attack).""],""name"":""Necrotic Weapons""}]","[""False Appearance"",""Immutable Form"",""Magic Resistance""]",,,,,,"[{""entries"":[""The ushabti makes two Nabboot attacks.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 8} to hit, reach 5 ft., one target. {@h}12 ({@damage 2d6 + 5}) bludgeoning damage plus 13 ({@damage 3d8}) necrotic damage. If the target is a creature, it must succeed on a {@dc 16} Constitution saving throw or be cursed with tomb taint. The cursed target's speed is halved, and its hp maximum decreases by 3 ({@dice 1d6}) for every 24 hours that elapse. If the curse reduces the target's hp maximum to 0, the target dies, and its body turns to dust. The curse lasts until removed by the {@spell remove curse} spell or comparable magic.""],""name"":""Nabboot""},{""entries"":[""The ushabti commands its armlets to drop to the floor and transform into two giant, poisonous snakes. The snakes act as allies of the ushabti and obey its spoken commands. The snakes remain for 1 hour, until the ushabti dies, or until the ushabti dismisses one or both of them as a bonus action. When the snakes disappear, they become wisps of smoke and reform as armlets around the ushabti's arms.""],""name"":""Serpentine Armlets (1/Day)""}]","[""Multiattack""]",,,"[{""entries"":[""One creature the ushabti can see within 60 feet of it must succeed on a {@dc 16} Strength saving throw or the ushabti moves the creature up to 30 feet in any direction (including upward). The target is {@condition restrained} until the start of the ushabti's next turn.""],""name"":""Telekinesis""}]","[""restrained""]","B, N","[""constitution"",""strength""]",,,,,,,,,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison"",""psychic""]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""understands the languages of its creator but can't speak""]",CS,,"desert, underdark, urban","CUR, MW",ToB1-2023,FALSE,,,,,,,
Usagt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,5,12,97,13d8 + 39,L N,aberration,shapeshifter,,M,10,15,16,15,20,12,4,5,8,,,,,5,8,8,7,5,,,,,,,,,,,,,,18,SD,30,,,,,,,,,,,"[{""entries"":[""The usagt's true form is {@condition invisible}.""],""name"":""Invisibility""},{""entries"":[""The usagt can use its action to polymorph into a Small, Medium, or Large humanoid it has seen in person or telepathically, or back into its true form. Its statistics, other than its size, are the same in each form. While polymorphed, the usagt is not {@condition invisible}. Its new form appears to wear clothes, carry equipment, and even wield weapons, but these are all parts of the usagt itself; they vanish if dropped or removed from the creature. It can't activate, use, wield, or otherwise benefit from any of its apparent equipment. It reverts to its true form if it dies.""],""name"":""Shapechanger""}]",shapechanger,"[{""ability"":""cha"",""headerEntries"":[""The usagt's innate spellcasting ability is Charisma (spell save {@dc 15}). It can cast the following spells, requiring no spell components:""],""name"":""Innate Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell banishment}"",""{@spell detect thoughts}"",""{@spell disguise self}""]}]",,I,"[""incapacitated""]","[""charisma"",""wisdom""]","[{""entries"":[""The usagt makes two attacks with its claws.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 5} to hit, reach 5 ft., one target. {@h}7 (2d4 + 2) slashing damage plus 11 (2d6 + 4) psychic damage.""],""name"":""Claws""},{""entries"":[""The usagt targets one creature it can see within 30 feet of it. The target must contest its Charisma ({@skill Deception}) check against the usagt's Wisdom ({@skill Insight}) check."",""The target has advantage on the roll if it is immune to being {@condition charmed}. A target can choose to fail this check."",""If the usagt wins, it magically learns the identity of a creature from the target's past, someone the target wishes it could speak to again or with whom the target has left something unsaid. If somehow no such creature exists in the target's past, the usagt learns that instead.""],""name"":""Personal Insight""}]","[""Multiattack""]",,,"[{""entries"":[""When the usagt takes damage, it can choose to revert to its default, {@condition invisible} form and move up to 15 feet without provoking opportunity attacks.""],""name"":""Invisibility Response (Recharges When the Usagt Uses Its Shapechanger Ability)""}]","[""invisible""]",,,,,,,,,,,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,,"[""all"",""telepathy 30 ft.""]","TP,XX",,,MW,AitFR-THP,FALSE,,,,,,,
Urstul Floxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,8,15,78,12d8 + 24,L E,humanoid,Human,,M,11,16,14,13,11,10,,4,,,6,,,,,3,,9,,6,,,3,,,,,,,,,13,,30,,,,,,,,,,,"[{""entries"":[""During its first turn, Urstul has advantage on attack rolls against any creature that hasn't taken a turn. Any hit Urstul scores against a {@status surprised} creature is a critical hit.""],""name"":""Assassinate""},{""entries"":[""If Urstul is subjected to an effect that allows him to make a Dexterity saving throw to take only half damage, Urstul instead takes no damage if he succeeds on the saving throw, and only half damage if it fails.""],""name"":""Evasion""},{""entries"":[""Urstul deals an extra 14 ({@damage 4d6}) damage when he hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of Urstul that isn't {@condition incapacitated} and Urstul doesn't have disadvantage on the attack roll.""],""name"":""Sneak Attack (1/Turn)""}]","[""Sneak Attack""]",,,,,,"[{""entries"":[""Urstul makes two shortsword attacks.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 6} to hit, reach 5 ft., one target. {@h}6 ({@damage 1d6 + 3}) piercing damage, and the target must make a {@dc 15} Constitution saving throw, taking 24 ({@damage 7d6}) poison damage on a failed save, or half as much damage on a successful one.""],""name"":""Shortsword""},{""entries"":[""{@atk rw} {@hit 6} to hit, range 80/320 ft., one target. {@h}7 ({@damage 1d8 + 3}) piercing damage, and the target must make a {@dc 15} Constitution saving throw, taking 24 ({@damage 7d6}) poison damage on a failed save, or half as much damage on a successful one.""],""name"":""Light Crossbow""}]","[""Multiattack""]",,,,,"I,P","[""constitution""]",,,,,,,,,"[""poison""]",,,,"[""Common"",""Orc"",""Thieves' cant""]","C,O,TC","light crossbow, shortsword",,"MLW,MW, RNG, RW",WDH,FALSE,,,,,,,
