name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Dust Mephit,,,1/2,12,17,5d6,N E,elemental,,,S,5,14,10,9,11,10,,,,,,,,,,2,,4,,,,,,,,,,,,,,12,D,30,,,,,,30,,,,,TRUE,"[""Death Burst""]","[{""ability"":""cha"",""headerEntries"":[""The mephit can innately cast {@spell sleep}, requiring no material components. Its innate spellcasting ability is Charisma.""],""hidden"":[""will""],""name"":""Innate Spellcasting (1/Day)"",""type"":""spellcasting"",""will"":[""{@spell sleep}""]}]",,I,"[""unconscious""]",,TRUE,"[""Breath Weapon""]",,FALSE,"[""blinded""]",S,"[""constitution"",""dexterity""]",,FALSE,,,,FALSE,,"[""fire""]","[""poison""]","[""poisoned""]","[""Auran"",""Terran""]","AU,T",,desert,"AOE, MW",MM,FALSE,,,,,TRUE,TRUE,
Firenewt Warrior,FALSE,,1/2,13,27,5d8 + 5,N,elemental,,,M,10,13,12,7,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,10,,30,,,,,,,,,,,TRUE,"[""Amphibious""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,"F,S","[""dexterity""]",,FALSE,,,,FALSE,,,"[""fire""]",,"[""Draconic"",""Ignan""]","DR,IG",scimitar,"desert, hill, mountain, underdark","MLW,MW",MPMM,FALSE,,,,,,,
Ice Mephit,,,1/2,11,21,6d6,N E,elemental,,,S,7,13,10,9,11,12,,,,,,,,,,2,,3,,,,,,,,,,,,,,12,D,30,,,,,,30,,,,,TRUE,"[""Death Burst"",""False Appearance""]","[{""ability"":""cha"",""headerEntries"":[""The mephit can innately cast {@spell fog cloud}, requiring no material components. Its innate spellcasting ability is Charisma.""],""hidden"":[""will""],""name"":""Innate Spellcasting (1/Day)"",""type"":""spellcasting"",""will"":[""{@spell fog cloud}""]}]",,I,,,TRUE,"[""Breath Weapon""]",,FALSE,,"C,S","[""dexterity""]",,FALSE,,,,FALSE,,"[""bludgeoning"",""fire""]","[""cold"",""poison""]","[""poisoned""]","[""Aquan"",""Auran""]","AQ,AU",,arctic,"AOE, MW",MM,FALSE,,,,,TRUE,TRUE,
Magma Mephit,,,1/2,11,22,5d6 + 5,N E,elemental,,,S,8,12,12,7,10,10,,,,,,,,,,,,3,,,,,,,,,,,,,,10,D,30,,,,,,30,,,,,TRUE,"[""Death Burst"",""False Appearance""]","[{""ability"":""cha"",""headerEntries"":[""The mephit can innately cast {@spell heat metal} (spell save {@dc 10}), requiring no material components. Its innate spellcasting ability is Charisma.""],""hidden"":[""will""],""name"":""Innate Spellcasting (1/Day)"",""type"":""spellcasting"",""will"":[""{@spell heat metal}""]}]",F,I,,"[""constitution""]",TRUE,"[""Breath Weapon""]",,FALSE,,"F,S","[""dexterity""]",,FALSE,,,,FALSE,,"[""cold""]","[""fire"",""poison""]","[""poisoned""]","[""Ignan"",""Terran""]","IG,T",,underdark,"AOE, MW",MM,FALSE,,,,,TRUE,TRUE,
Magmin,,,1/2,14,9,2d6 + 2,C N,elemental,,,S,7,15,12,8,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,,,,,,,,TRUE,"[""Death Burst""]",,,,,,TRUE,,,FALSE,,F,"[""dexterity""]",,FALSE,,,,FALSE,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire""]",,"[""Ignan""]",IG,,,"AOE, MW",MM,FALSE,,,,,,TRUE,
Bucca,FALSE,,1/2,14,27,5d4 + 15,N E,fey,,,T,10,16,17,13,9,16,,,,,,,,,,1,,7,,,,,,,,,,,7,,,11,D,20,,,,,,30,,,,,TRUE,"[""Flyby"",""Sunlight Sensitivity""]",,,,,,TRUE,,,FALSE,"[""invisible"",""poisoned""]","P,R","[""constitution""]",,FALSE,,,,FALSE,,,,,"[""Darakhul"",""Dwarvish""]",D,dagger,underdark,"MLW,MW, RW, THW",ToB1-2023,FALSE,,,,,,,
Darkling,,,1/2,14,13,3d6 + 3,C N,fey,,,S,9,16,12,10,12,10,,,,,,,,,,5,,7,,5,,,2,,,,,,,,,15,"B, SD",30,,,,,,,,,,,TRUE,"[""Light Sensitivity""]",,,,,,TRUE,,,FALSE,"[""blinded""]",P,"[""constitution""]",,FALSE,,,,FALSE,,,,,"[""Elvish"",""Sylvan""]","E,S",dagger,"underdark, forest, swamp, urban","AOE, MLW,MW, RW, THW",VGM,FALSE,,,,,,TRUE,
Darkling,FALSE,,1/2,14,13,3d6 + 3,C N,fey,,,S,9,16,12,10,12,10,,,,,,,,,,5,,7,,5,,,2,,,,,,,,,15,"B, SD",30,,,,,,,,,,,TRUE,"[""Light Sensitivity""]",,,,,,TRUE,,,FALSE,"[""blinded""]","N,P","[""constitution""]",,FALSE,,,,FALSE,,,,,"[""Elvish"",""Sylvan""]","E,S",dagger,"forest, swamp, underdark, urban","AOE, MLW,MW, RW, THW",MPMM,FALSE,,,,,,,
Faerie Borrower,,,1/2,15,12,5d4,C N,fey,,,T,2,20,10,13,12,16,,,,,,,,,,,,7,,,,,,,,,,,7,,,11,,10,,,,,,30,,,,,TRUE,"[""Flyby""]","[{""ability"":""cha"",""daily"":{""1"":[""{@spell silent image}""]},""displayAs"":""action"",""headerEntries"":[""The faerie casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save {@dc 13}):""],""name"":""Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell prestidigitation}""]}]",,O,,,TRUE,,,TRUE,,"P,Y","[""wisdom""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Sylvan""]","C,S",,,MW,MCV4EC,FALSE,,,,,,,
Fraughashar,FALSE,,1/2,15,22,5d6 + 5,N E,fey,,,S,8,14,12,10,14,7,,,,,,,,,,,,4,,,,,,,,,,,,,,10,,25,,,,,,,,,,,TRUE,,,,,,,TRUE,"[""Multiattack""]",,FALSE,,"C,P",,,FALSE,,,,FALSE,,,"[""cold""]",,"[""Sylvan""]",S,dagger,arctic,"MLW,MW, RW, THW",ToB1-2023,FALSE,,,,,,,
Giant Lynx,,,1/2,14,22,4d8 + 4,N,fey,,,M,14,18,13,12,14,10,,,,,,,,,,6,,6,,,,,,,,,,,,,,16,U,30,,,,30,,,,,,,TRUE,"[""Camouflage""]",,,,,,TRUE,,,FALSE,"[""prone""]",S,"[""strength""]",,FALSE,,,,FALSE,"[""cold""]",,,,"[""Giant"",""Sylvan""]","GI,S",,,MW,BGG,FALSE,,,,,,,
Miremal,FALSE,,1/2,12,22,5d6 + 5,C E,fey,,,S,10,15,12,10,12,8,,,,,,,,,,3,,6,,,,,,,,,,,,3,,13,D,30,,,,,,,,30,,,TRUE,"[""Amphibious"",""Camouflage""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,"[""blinded""]","A, P,S","[""constitution""]",,FALSE,,,,FALSE,,,,,"[""Sylvan"",""Umbral""]",S,,swamp,MW,ToB1-2023,FALSE,,,,,,,
Rum Gremlin,FALSE,,1/2,13,27,6d4 + 12,C E,fey,,,T,10,16,14,12,9,12,,,,,,,,,,,,5,,,,,,,,,,,,,,10,SD,20,,,,10,,,,10,,,TRUE,"[""Magic Resistance""]","[{""ability"":""cha"",""daily"":{""3"":[""{@spell command}""]},""displayAs"":""action"",""headerEntries"":[""The gremlin casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save {@dc 11}):""],""name"":""Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell prestidigitation}""]}]",,O,"[""prone""]","[""wisdom""]",TRUE,,,FALSE,"[""poisoned""]","P,S","[""constitution""]",,FALSE,,,,FALSE,,,,"[""poisoned""]","[""Common"",""Sylvan""]","C,S",,"coastal, urban",MW,ToB1-2023,FALSE,,,,,,,
Satyr,,,1/2,14,31,7d8,C N,fey,,,M,12,16,11,12,10,14,,,,,,,,,,2,6,5,,,,,,,,,,,,,,12,,40,,,,,,,,,,,TRUE,"[""Magic Resistance""]",,,,,,TRUE,,,FALSE,"[""charmed"",""frightened"",""unconscious""]","B, P","[""wisdom""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Elvish"",""Sylvan""]","C,E,S","shortbow, shortsword",forest,"MLW,MW, RNG, RW",MM,FALSE,,,,,TRUE,TRUE,
Valenar Hound,FALSE,FALSE,1/2,14,19,3d8 + 6,N,fey,,,M,17,15,14,10,15,11,,,,,,,,,,4,,,,,,,,,,,,,,,,14,,40,,,,,,,,,,,TRUE,"[""Keen Senses""]",,,,,,TRUE,,,FALSE,"[""prone""]",P,"[""strength""]",,FALSE,,,,FALSE,,,,,"[""understands Common"",""Elvish"",""and Sylvan but can't speak""]","C,CS,E,S",,,MW,ERLW,FALSE,,,,,,,
Valenar Steed,FALSE,FALSE,1/2,13,22,3d10 + 6,N,fey,,,L,14,16,14,10,15,11,,,,,,,,,,4,,,,,,,,,,,,,,,,14,,60,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,"[""understands Common"",""Elvish"",""and Sylvan but can't speak""]","C,CS,E,S",,,MW,ERLW,FALSE,,,,,,,
Wynling,FALSE,FALSE,1/2,15,21,6d4 + 6,C N,fey,,,T,3,20,13,10,14,16,,,,,,,,,,,,7,,,,,,,,,,,7,,,12,D,30,,,,,,40,,,,,FALSE,,,,,,,TRUE,,,TRUE,"[""invisible""]",B,,,FALSE,,,,FALSE,,,,,"[""Sylvan""]",S,,,MW,JttRC,FALSE,,,,,,,
Cackler,FALSE,,1/2,15,10,3d6,C E,fiend,demon,,S,9,16,11,11,7,12,,,,,,,,,,0,3,,,,,,3,,,,,,,,,10,SD,30,,,,,,,,,,,TRUE,"[""Mimicry""]","[{""ability"":""cha"",""daily"":{""1"":[""{@spell Tasha's hideous laughter}""]},""headerEntries"":[""The cackler's innate spellcasting ability is Charisma (spell save {@dc 11}, {@hit 3} to hit with spell attacks). The cackler can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell fire bolt}""]}]",F,I,,"[""wisdom""]",TRUE,,,FALSE,,"P,S,Y","[""wisdom""]",,FALSE,,,,FALSE,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common""]","AB,C",,,"MW, RCH",GGR,FALSE,,,,,,,
Nupperibo,FALSE,,1/2,13,11,2d8 + 2,L E,fiend,devil,,M,16,11,13,3,8,1,,,,,,,,,,1,,,,,,,,,,,,,,,,11,B,20,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,P,"[""constitution""]",,FALSE,,,,FALSE,"[""acid"",""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""blinded"",""charmed"",""frightened"",""poisoned""]","[""understands Infernal but can't speak""]","CS,I",,,MW,MTF,FALSE,,,,,,TRUE,
Nupperibo,FALSE,,1/2,13,11,2d8 + 2,L E,fiend,devil,,M,16,11,13,3,8,1,,,,,,,,,,1,,,,,,,,,,,,,,,,11,B,20,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,"A, P","[""constitution""]",,FALSE,,,,FALSE,"[""acid"",""cold""]",,"[""fire"",""poison""]","[""blinded"",""charmed"",""frightened"",""poisoned""]","[""understands Infernal but can't speak""]","CS,I",,,MW,MPMM,FALSE,,,,,,,
Stench Kow,FALSE,,1/2,10,15,2d10 + 4,U,fiend,cattle,,L,18,10,14,2,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,"[""poisoned""]",P,"[""constitution""]",,FALSE,,,,FALSE,"[""cold"",""fire"",""poison""]",,,,,,,"grassland, urban",MW,MPMM,FALSE,,,,,,,
Aspirant of the Comet,FALSE,,1/2,11,27,5d8 + 5,A,humanoid,,,M,13,12,12,11,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,10,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,"N,P","[""strength""]",,FALSE,,,,FALSE,,,,,"[""Common plus any one language""]","C,X",spear,,"AOE, MLW,MW, RW, THW",BMT,FALSE,,,,,,,
Barovian Witch,FALSE,FALSE,1/2,10,16,3d8 + 3,C E,humanoid,Human,,M,7,11,13,14,11,12,,,,,,,4,,,2,,,,,,,,,,,,,,,,12,D,30,,,,,,,,,,,FALSE,,"[{""ability"":""int"",""headerEntries"":[""The witch is a 3rd-level spellcaster. Its spellcasting ability is Intelligence (spell save {@dc 12}, {@hit 4} to hit with spell attacks). The witch has the following wizard spells prepared:""],""name"":""Spellcasting"",""spells"":{""0"":{""spells"":[""{@spell mage hand}"",""{@spell prestidigitation}"",""{@spell ray of frost}""]},""1"":{""slots"":4,""spells"":[""{@spell ray of sickness}"",""{@spell sleep}"",""{@spell Tasha's hideous laughter}""]},""2"":{""slots"":2,""spells"":[""{@spell alter self}"",""{@spell invisibility}""]}},""type"":""spellcasting""}]","B, C,I,P,S",CW,,"[""constitution"",""wisdom""]",TRUE,,,FALSE,,"P,S",,,FALSE,,,,FALSE,,,,,"[""Common""]",C,dagger,,"MLW,MW, RW, THW",CoS,FALSE,,,,,,,
Burrowling,FALSE,,1/2,13,27,6d6 + 6,L N,humanoid,burrowling,,S,10,16,12,9,12,13,,,,,,,,,,3,,,,,,,,,,,,,,,,13,D,30,,10,,,,,,,,,TRUE,"[""Pack Tactics""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,"B, P,S",,,FALSE,,,,FALSE,,,,,"[""Common""]",C,sling,"farmland, forest","MW, RW",ToB1-2023,FALSE,,,,,,,
Changeling,FALSE,FALSE,1/2,13,22,4d8 + 4,A,humanoid,"changeling, shapechanger",,M,8,15,12,14,10,16,,,,,,,,,2,2,,,,4,,,5,,,,5,,,,,12,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,"[""Multiattack""]",,FALSE,"[""frightened""]",P,"[""wisdom""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Dwarvish"",""Elvish"",""Halfling"",""Thieves' cant""]","C,D,E,H,TC",dagger,,"MLW,MW, RW, THW",ERLW,FALSE,,,,,,,
Crushing Wave Reaver,FALSE,FALSE,1/2,14,22,4d8 + 4,N E,humanoid,Human,,M,15,14,13,10,11,8,,,,,,,,,,,,4,,,,4,,,,,,,,,,10,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,"P,S",,,FALSE,,,,FALSE,,,,,"[""Common""]",C,javelin,,"MLW,MW, RW, THW",PotA,FALSE,,,,,,,
Deep Gnome (Svirfneblin),,,1/2,15,16,3d6 + 6,N G,humanoid,gnome,,S,15,14,14,12,10,9,,,,,,,,,,2,,4,3,,,,,,,,,,,,,12,SD,20,,,,,,,,,,,TRUE,"[""Camouflage""]","[{""ability"":""int"",""daily"":{""1e"":[""{@spell blindness/deafness}"",""{@spell blur}"",""{@spell disguise self}""]},""headerEntries"":[""The gnome's innate spellcasting ability is Intelligence (spell save {@dc 11}). It can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell nondetection} (self only)""]}]",,I,"[""blinded"",""deafened""]","[""constitution""]",TRUE,,,FALSE,"[""poisoned""]",P,"[""constitution""]",,FALSE,,,,FALSE,,,,,"[""Gnomish"",""Terran"",""Undercommon""]","G,T, U",war pick,underdark,"MLW,MW, RW, THW",MM,FALSE,,,,,,,
Dire Corby,FALSE,,1/2,13,16,3d8 + 3,N E,humanoid,dire corby,,M,13,14,13,6,8,7,,,,,,,,,,3,,,,4,,,,,,,,,,,,13,D,40,,,,40,,,,,,,TRUE,"[""Keen Senses""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,S,"[""wisdom""]",,FALSE,,,,FALSE,,"[""thunder""]",,"[""frightened""]","[""Undercommon""]",U,,,MW,MFF,FALSE,,,,,,,
Don-Jon Raskin,TRUE,TRUE,1/2,10,44,8d8 + 8,N,humanoid,Human,,M,11,10,13,12,10,14,,,,3,2,,,,,,,,,,,,4,,,,4,,,,,10,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,"[""Multiattack""]",,FALSE,,"B, P",,,FALSE,,,,FALSE,,,,,"[""Common"",""Dwarvish""]","C,D","dagger, sling",,"MLW,MW, RNG, RW, THW",DIP,FALSE,,,,,,,
Emerald Enclave Scout,FALSE,FALSE,1/2,16,19,3d8 + 6,L N,humanoid,dwarf,,M,11,14,14,11,13,11,,,,,,,,,,5,,6,,,,,,,,4,,,,5,,15,D,25,,,,,,,,,,,TRUE,"[""Keen Senses""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,P,,,FALSE,,,,FALSE,"[""poison""]",,,,"[""Common"",""Dwarvish""]","C,D","heavy crossbow, war pick",,"MLW,MW, RNG, RW",OotA,FALSE,,,,,,,
Firenewt Warrior,,,1/2,16,22,4d8 + 4,N E,humanoid,firenewt,,M,10,13,12,7,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,10,,30,,,,,,,,,,,TRUE,"[""Amphibious""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,"F,S","[""dexterity""]",,FALSE,,,,FALSE,,,"[""fire""]",,"[""Draconic"",""Ignan""]","DR,IG",scimitar,"underdark, mountain, hill, desert","MLW,MW",VGM,FALSE,,,,,,TRUE,
First-Year Student,FALSE,,1/2,11,33,6d8 + 6,A,humanoid,wizard,,S M,8,12,13,12,10,11,,,,,,,,,,,,,,,,,,,,,,,,,adv,10,,30,,,,,,,,,,,TRUE,,"[{""ability"":""int"",""daily"":{""1"":[""{@spell detect magic}""]},""displayAs"":""action"",""headerEntries"":[""The student casts one of the following spells, using Intelligence as the spellcasting ability (spell save {@dc 11}):""],""name"":""Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell mage hand}"",""{@spell prestidigitation}""]}]",,O,,,TRUE,,,TRUE,,O,,,FALSE,,,,FALSE,,,,,"[""Common plus any two languages""]","C,X",,,,SCC,FALSE,,,,,,,
Fist of Bane,FALSE,FALSE,1/2,18,22,4d8 + 4,L E,humanoid,Human,,M,16,11,13,10,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,11,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,"B, P",,,FALSE,,,,FALSE,,,,"[""frightened""]","[""Common""]",C,"longbow, mace",,"MLW,MW, RNG, RW",BGDIA,FALSE,,,,,,,
Gnoll,,,1/2,15,22,5d8,C E,humanoid,gnoll,,M,14,12,11,6,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,,,,,,,,TRUE,"[""Rampage""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,gnoll,OTH,"longbow, spear","grassland, forest, hill, desert","MLW,MW, RNG, RW, THW",MM,FALSE,,,,,,TRUE,
Gnoll Hunter,,,1/2,13,22,4d8 + 4,C E,humanoid,gnoll,,M,14,14,12,8,12,8,,,,,,,,,,3,,4,,,,,,,,,,,,,,13,D,30,,,,,,,,,,,TRUE,"[""Rampage""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,P,,,FALSE,,,,FALSE,,,,,gnoll,OTH,"longbow, spear","grassland, forest, hill, arctic","MLW,MW, RNG, RW, THW",VGM,FALSE,,,,,,TRUE,
Hadozee Warrior,,,1/2,16,16,3d8 + 3,A,humanoid,,,M,11,16,13,10,13,12,,,,3,5,,,,,3,,5,,,,,,,,,,,,5,,13,,30,,,,30,,,,,,,TRUE,,,,,,,TRUE,"[""Multiattack""]",,TRUE,,P,,,FALSE,,,,FALSE,,,,,"[""Common"",""Hadozee""]",C,"light crossbow, shortsword",,"MLW,MW, RNG, RW",BAM,FALSE,,,,,,,
Hobgoblin,,,1/2,18,11,2d8 + 2,L E,humanoid,goblinoid,,M,13,12,12,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,"P,S",,,FALSE,,,,FALSE,,,,,"[""Common"",""Goblin""]","C,GO","longbow, longsword","underdark, grassland, forest, hill, desert","MLW,MW, RNG, RW",MM,FALSE,,,,,,TRUE,
Hybrid Spy,FALSE,,1/2,13,22,4d8 + 4,N G,humanoid,Simic hybrid,,M,11,17,12,13,14,9,,,,,,,,,,4,,5,,,,,,,,,,,,,,14,D,30,,,,30,,,,,,,TRUE,"[""Spider Climb""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Common plus any one language""]","C,X",shortsword,,"MLW,MW",GGR,FALSE,,,,,,,
Jackalwere,,,1/2,12,18,4d8,C E,humanoid,shapechanger,,M,11,15,11,13,11,10,,,,,,,,,,2,,4,,,,,4,,,,,,,,,12,,40,,,,,,,,,,,TRUE,"[""Keen Senses"",""Pack Tactics"",""Shapechanger""]",,,,,,TRUE,,,FALSE,"[""unconscious""]","P,S","[""wisdom""]",,FALSE,,,,FALSE,,,"[{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks that aren't silvered""}]",,"[""Common (can't speak in jackal form)""]","C,CS",scimitar,"grassland, desert","MLW,MW",MM,FALSE,,,,,,TRUE,
Kalaman Soldier,FALSE,FALSE,1/2,18,16,3d8 + 3,A,humanoid,,,S M,13,12,12,10,11,10,,,,,,,,,,2,,,,,,3,,,,,,,,,,12,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,"[""Multiattack""]",,TRUE,,S,,,FALSE,,,,FALSE,,,,,"[""Common""]",C,longsword,,"MLW,MW",DSotDQ,FALSE,,,,,,,
Koalinth,FALSE,FALSE,1/2,14,16,3d8 + 3,L E,humanoid,goblinoid,,M,13,11,12,11,10,11,,,,,2,,,,,2,,,,,,3,,,,,,,,,,12,D,30,,,,,,,,20,,,TRUE,"[""Amphibious""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Common"",""Goblin""]","C,GO",trident,,"MLW,MW, RW, THW",GoS,FALSE,,,,,,,
Kraul Warrior,FALSE,,1/2,18,27,5d8 + 5,N E,humanoid,kraul,,M,15,12,13,10,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,30,,,,,,,TRUE,"[""Pack Tactics"",""Spider Climb""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Kraul"",""understands Common but can't speak it""]","C,CS",spear,,"MLW,MW, RW, THW",GGR,FALSE,,,,,TRUE,,
Lizardfolk,,,1/2,15,22,4d8 + 4,N,humanoid,lizardfolk,,M,15,10,13,7,12,7,,,,,,,,,,3,,4,,,,,,,,,,,,5,,13,,30,,,,,,,,30,,,TRUE,"[""Hold Breath""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,"B, P",,,FALSE,,,,FALSE,,,,,"[""Draconic""]",DR,javelin,"forest, swamp","MLW,MW, RW, THW",MM,FALSE,,,,,,TRUE,
Locathah,FALSE,FALSE,1/2,13,22,4d8 + 4,N,humanoid,locathah,,M,13,12,12,11,10,11,,,,,3,,,,,2,,,,,,3,,,,,,,,,,12,,30,,,,,,,,30,,,TRUE,,,,,,,TRUE,"[""Multiattack""]",,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Aquan"",""Common""]","AQ,C",spear,,"MLW,MW, RW, THW",GoS,FALSE,,,,,,,
Magnifico,TRUE,TRUE,1/2,12,27,6d8,C N,humanoid,Human,,M,10,15,10,12,14,16,,,,,,,,,4,6,,4,3,,,,5,,,,5,,6,,,16,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Common""]",C,"hand crossbow, shortsword",,"MLW,MW, RNG, RW",NRH-CoI,FALSE,,,,,,,
Necromite of Myrkul,FALSE,FALSE,1/2,11,13,2d8 + 4,N E,humanoid,Human,,M,10,13,15,16,11,10,,,,,,,5,,,,,,,,,,,,,,,5,,,,10,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,"B, N",,,FALSE,,,,FALSE,,,,,"[""Abyssal"",""Common"",""Infernal""]","AB,C,I",,,"MLW,MW",BGDIA,FALSE,,,,,,,
Nkosi,FALSE,,1/2,15,27,5d8 + 5,L N,humanoid,"nkosi, shapechanger",,M,16,16,12,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,2,,10,D,30,,,,,,,,,,,TRUE,"[""Keen Senses"",""Pounce""]",,,,,,TRUE,shapechanger,"[{""entries"":[""The nkosi transforms into a Large lion or back into its true form, which is Humanoid. Its statistics, other than its size, speed, and AC, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.""],""name"":""Change Shape""}]",FALSE,"[""prone""]",P,"[""strength""]",,FALSE,,,,FALSE,,,,,"[""Common (can't speak in lion form)""]","C,CS",,"forest, grassland","MW, RW",ToB1-2023,FALSE,,,,,,,
Norker,FALSE,,1/2,17,16,3d8 + 3,C E,humanoid,goblinoid,,S,13,10,13,8,8,7,,,,,,,,,,,,,,,,3,,,,,,,,,,9,D,30,,,,,,,,,,,FALSE,,,,,,,TRUE,"[""Multiattack""]",,TRUE,,"B, P",,,FALSE,,,,FALSE,,,,,"[""Common"",""Goblin""]","C,GO",mace,,"MLW,MW",MFF,FALSE,,,,,,,
Noska Ur'gray,TRUE,TRUE,1/2,11,32,5d8 + 10,L E,humanoid,dwarf,,M,15,11,14,10,10,11,,,,,,,,,,,,,,,,,,2,,,,,,,,10,D,25,,,,,,,,,,,TRUE,"[""Pack Tactics""]",,,,,,TRUE,"[""Multiattack""]",,FALSE,,"B, P",,,FALSE,,,,FALSE,"[""poison""]",,,,"[""Common"",""Dwarvish""]","C,D","heavy crossbow, mace",,"MLW,MW, RNG, RW",WDH,FALSE,,,,,,,
Oceanus,TRUE,TRUE,1/2,12,30,4d8 + 12,N G,humanoid,Elf,,M,15,12,16,11,12,10,,,,5,,,,,,3,,,,,,4,,,,,,,,,,13,D,30,,,,,,,,30,,,TRUE,"[""Amphibious""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Aquan"",""Elvish""]","AQ,E","light crossbow, trident",,"MLW,MW, RNG, RW, THW",GoS,FALSE,,,,,,,
